ID1	ID2	IBD0	IBD1	IBD2
TDa95/00328	TDa99/00240	0.000	0.789	0.211
TDa99/00048	TDa99/00240	0.092	0.649	0.259
TDa00/00005	TDa01/00039	0.000	0.880	0.120
TDa95/00328	TDa99/00048	0.000	0.897	0.103
TDa00/00005	TDa05/00015	0.000	0.923	0.077
TDa95-310	TDa00/00005	0.000	0.946	0.054
TDa95/00328	TDa00/00005	0.000	0.968	0.032
TDa01/00039	TDa05/00015	0.184	0.667	0.149
TDa95-310	TDa02/00012	0.168	0.788	0.043
TDa95/00328	TDa05/00015	0.294	0.618	0.088
TDa95/00328	TDa01/00039	0.258	0.716	0.026
TDa99/00240	TDa05/00015	0.318	0.597	0.085
TDa99/00240	TDa00/00005	0.264	0.706	0.030
TDa95-310	TDa01/00039	0.256	0.730	0.014
TDa02/00012	TDa05/00015	0.326	0.605	0.073
TDa99/00048	TDa01/00039	0.325	0.605	0.071
TDa99/00048	TDa00/00005	0.277	0.703	0.020
TDa99/00048	TDa05/00015	0.331	0.595	0.074
TDa99/00240	TDa01/00039	0.330	0.641	0.029
TDa99/00240	TDa02/00012	0.349	0.622	0.029
TDa00/00005	TDa02/00012	0.344	0.638	0.018
TDa95-310	TDa05/00015	0.338	0.649	0.013
TDa01/00039	TDa02/00012	0.424	0.521	0.054
TDa99/00048	TDa02/00012	0.421	0.533	0.046
TDa95/00328	TDa02/00012	0.433	0.526	0.040
TDa95/00328	TDa95-310	0.590	0.400	0.010
TDa95-310	TDa99/00240	0.606	0.391	0.003
TDa95-310	TDa99/00048	0.622	0.376	0.002
TDa95/00328	TDa95/00328	1.000	0.000	0.000
TDa95-310	TDa95-310	1.000	0.000	0.000
TDa99/00048	TDa99/00048	1.000	0.000	0.000
TDa99/00240	TDa99/00240	1.000	0.000	0.000
TDa00/00005	TDa00/00005	1.000	0.000	0.000
TDa01/00039	TDa01/00039	1.000	0.000	0.000
TDa02/00012	TDa02/00012	1.000	0.000	0.000
TDa05/00015	TDa05/00015	1.000	0.000	0.000
