A.chr	A.start	A.end	B.chr	B.start	B.end	A.retention	B.retention
Chr11	12277921	19381525	Chr1	151195	24403341	0.57522	0.51881
Chr3	102217	6189087	Chr8	17245187	19687046	0.65138	0.48991
Chr3	4379620	21763956	Chr8	11326084	17189531	0.62571	0.46857
Chr4	1011547	6967495	Chr14	10717069	17268964	0.60193	0.48154
Chr4	21845236	24281112	Chr16	138655	2687062	0.59206	0.52888
Chr20	13410063	15058588	Chr4	17754237	19014062	0.6726	0.46975
Chr5	52964	2312474	Chr10	35517422	37656032	0.63817	0.51292
Chr5	2364784	6557235	Chr10	33205053	35354105	0.62827	0.48168
Chr5	20118776	22384736	Chr10	114254	32508291	0.59583	0.5625
Chr17	86892	20787178	Chr5	7607730	20564084	0.63356	0.47248
Chr18	23779879	25571686	Chr5	22945344	24264542	0.66762	0.46705
Chr7	159078	23956237	Chr12	49070	20082696	0.6607	0.45856
Chr15	75500	14966238	Chr8	99639	4509611	0.62766	0.44833
Chr15	15861514	24017701	Chr8	19712255	22848740	0.68445	0.4652
Chr18	25811229	27415048	Chr9	19012906	20477161	0.59953	0.51659
