CHROM	START	END	HET	HOM
Chr1	0	169702	0.0026	0
Chr1	10000	179807	0.00267	0
Chr1	20000	187592	0.00309	0
Chr1	30000	192554	0.00364	0
Chr1	40000	203564	0.00384	0
Chr1	50000	215302	0.00438	0
Chr1	60000	224626	0.00474	0
Chr1	70000	231891	0.00505	0
Chr1	80000	237225	0.00519	0
Chr1	90000	253295	0.00537	0
Chr1	100000	271253	0.00553	0
Chr1	110000	299082	0.00604	0
Chr1	120000	312732	0.00647	0
Chr1	130000	324900	0.00639	0
Chr1	140000	334817	0.00619	0
Chr1	150000	348383	0.00582	0
Chr1	160000	354878	0.00544	0
Chr1	170000	364546	0.00499	0
Chr1	180000	372383	0.00486	0
Chr1	190000	382063	0.00466	0
Chr1	200000	389520	0.00471	0
Chr1	210000	398758	0.00518	0
Chr1	220000	409429	0.00626	0
Chr1	230000	435695	0.00758	0
Chr1	240000	449489	0.00833	0
Chr1	250000	492727	0.00846	0
Chr1	260000	512143	0.00885	0
Chr1	270000	513509	0.00884	0
Chr1	280000	549227	0.00911	0
Chr1	290000	603864	0.00901	0
Chr1	300000	632389	0.00908	0
Chr1	310000	681973	0.00934	0
Chr1	320000	716543	0.00978	0
Chr1	330000	742882	0.01065	0
Chr1	340000	756252	0.01168	0
Chr1	350000	767120	0.01207	0
Chr1	360000	779840	0.01309	0
Chr1	370000	788357	0.01356	0
Chr1	380000	804644	0.0139	0
Chr1	390000	815404	0.01342	0
Chr1	400000	826498	0.01223	0
Chr1	410000	838311	0.01093	0
Chr1	420000	840866	0.01041	0
Chr1	430000	843363	0.00985	0
Chr1	440000	866436	0.00817	0
Chr1	450000	869154	0.00794	0
Chr1	460000	873376	0.00756	0
Chr1	470000	873388	0.00756	0
Chr1	480000	873559	0.00755	0
Chr1	490000	873559	0.00755	0
Chr1	500000	874767	0.00755	0
Chr1	510000	878150	0.0071	0
Chr1	520000	883805	0.00685	0
Chr1	530000	886962	0.00647	0
Chr1	540000	888004	0.00641	0
Chr1	550000	888087	0.00641	0
