Dalata.11	Dalata.23565
Dalata.14	Dalata.9903
Dalata.15	Dalata.1980
Dalata.18	Dalata.14141
Dalata.19	Dalata.16079
Dalata.20	Dalata.13812
Dalata.21	Dalata.16080
Dalata.24	Dalata.22947
Dalata.26	Dalata.14136
Dalata.27	Dalata.16086
Dalata.28	Dalata.1964
Dalata.32	Dalata.1955
Dalata.34	Dalata.1951
Dalata.39	Dalata.14121
Dalata.40	Dalata.14119
Dalata.42	Dalata.14117
Dalata.47	Dalata.14115
Dalata.49	Dalata.14107
Dalata.51	Dalata.1935
Dalata.52	Dalata.8325
Dalata.61	Dalata.1787
Dalata.82	Dalata.14104
Dalata.88	Dalata.14101
Dalata.91	Dalata.14089
Dalata.93	Dalata.16126
Dalata.96	Dalata.14088
Dalata.99	Dalata.14083
Dalata.103	Dalata.11675
Dalata.104	Dalata.14076
Dalata.107	Dalata.14073
Dalata.111	Dalata.14056
Dalata.113	Dalata.16149
Dalata.117	Dalata.14037
Dalata.118	Dalata.16156
Dalata.119	Dalata.14040
Dalata.120	Dalata.14042
Dalata.126	Dalata.13966
Dalata.127	Dalata.13973
Dalata.129	Dalata.13974
Dalata.130	Dalata.1525
Dalata.131	Dalata.16228
Dalata.134	Dalata.13978
Dalata.136	Dalata.13979
Dalata.138	Dalata.13959
Dalata.139	Dalata.3385
Dalata.141	Dalata.13957
Dalata.143	Dalata.13956
Dalata.145	Dalata.1581
Dalata.147	Dalata.13950
Dalata.160	Dalata.16327
Dalata.162	Dalata.13944
Dalata.169	Dalata.13943
Dalata.171	Dalata.16315
Dalata.177	Dalata.13939
Dalata.181	Dalata.13927
Dalata.187	Dalata.13491
Dalata.188	Dalata.13929
Dalata.206	Dalata.1629
Dalata.211	Dalata.13868
Dalata.212	Dalata.13869
Dalata.214	Dalata.13886
Dalata.215	Dalata.13889
Dalata.216	Dalata.1756
Dalata.218	Dalata.13891
Dalata.234	Dalata.15673
Dalata.236	Dalata.13910
Dalata.251	Dalata.16818
Dalata.253	Dalata.1592
Dalata.303	Dalata.14029
Dalata.307	Dalata.14033
Dalata.309	Dalata.6839
Dalata.310	Dalata.1409
Dalata.317	Dalata.13965
Dalata.318	Dalata.6013
Dalata.321	Dalata.23664
Dalata.328	Dalata.13985
Dalata.330	Dalata.13981
Dalata.332	Dalata.1413
Dalata.333	Dalata.1414
Dalata.334	Dalata.14002
Dalata.335	Dalata.14004
Dalata.337	Dalata.14014
Dalata.349	Dalata.16274
Dalata.356	Dalata.13866
Dalata.370	Dalata.14899
Dalata.375	Dalata.17227
Dalata.379	Dalata.13854
Dalata.380	Dalata.13853
Dalata.381	Dalata.13845
Dalata.383	Dalata.9357
Dalata.386	Dalata.13841
Dalata.389	Dalata.13839
Dalata.390	Dalata.13834
Dalata.391	Dalata.1112
Dalata.392	Dalata.9149
Dalata.394	Dalata.13829
Dalata.395	Dalata.10992
Dalata.401	Dalata.10374
Dalata.407	Dalata.13822
Dalata.412	Dalata.13817
Dalata.415	Dalata.13814
Dalata.424	Dalata.13806
Dalata.425	Dalata.13810
Dalata.426	Dalata.13804
Dalata.432	Dalata.13795
Dalata.434	Dalata.13794
Dalata.435	Dalata.23050
Dalata.436	Dalata.13793
Dalata.437	Dalata.13791
Dalata.439	Dalata.13783
Dalata.440	Dalata.13782
Dalata.441	Dalata.13780
Dalata.447	Dalata.17198
Dalata.448	Dalata.13773
Dalata.449	Dalata.13771
Dalata.454	Dalata.13763
Dalata.455	Dalata.17205
Dalata.458	Dalata.6434
Dalata.461	Dalata.13758
Dalata.468	Dalata.22920
Dalata.471	Dalata.13753
Dalata.472	Dalata.17222
Dalata.473	Dalata.13752
Dalata.479	Dalata.18752
Dalata.484	Dalata.16375
Dalata.493	Dalata.13728
Dalata.495	Dalata.13726
Dalata.496	Dalata.1160
Dalata.502	Dalata.16407
Dalata.503	Dalata.1171
Dalata.507	Dalata.13717
Dalata.510	Dalata.760
Dalata.512	Dalata.13716
Dalata.516	Dalata.13708
Dalata.519	Dalata.22946
Dalata.523	Dalata.13682
Dalata.524	Dalata.16641
Dalata.525	Dalata.1291
Dalata.526	Dalata.1289
Dalata.560	Dalata.16749
Dalata.574	Dalata.16746
Dalata.579	Dalata.13660
Dalata.586	Dalata.13659
Dalata.589	Dalata.22260
Dalata.590	Dalata.13545
Dalata.598	Dalata.12934
Dalata.600	Dalata.13537
Dalata.602	Dalata.13535
Dalata.603	Dalata.13534
Dalata.606	Dalata.1200
Dalata.607	Dalata.13519
Dalata.612	Dalata.13642
Dalata.613	Dalata.13647
Dalata.616	Dalata.13656
Dalata.625	Dalata.20528
Dalata.626	Dalata.16630
Dalata.630	Dalata.9416
Dalata.633	Dalata.19193
Dalata.635	Dalata.4345
Dalata.636	Dalata.13227
Dalata.637	Dalata.4343
Dalata.643	Dalata.13217
Dalata.650	Dalata.13206
Dalata.653	Dalata.13289
Dalata.660	Dalata.13892
Dalata.661	Dalata.23113
Dalata.662	Dalata.13275
Dalata.669	Dalata.13100
Dalata.678	Dalata.12527
Dalata.682	Dalata.23089
Dalata.683	Dalata.8235
Dalata.686	Dalata.13107
Dalata.687	Dalata.4249
Dalata.689	Dalata.13108
Dalata.693	Dalata.10837
Dalata.696	Dalata.1400
Dalata.697	Dalata.13119
Dalata.707	Dalata.13120
Dalata.709	Dalata.8495
Dalata.710	Dalata.13125
Dalata.713	Dalata.13127
Dalata.714	Dalata.13128
Dalata.715	Dalata.4280
Dalata.716	Dalata.4290
Dalata.718	Dalata.13135
Dalata.723	Dalata.16218
Dalata.728	Dalata.4457
Dalata.731	Dalata.7235
Dalata.732	Dalata.13631
Dalata.739	Dalata.13625
Dalata.742	Dalata.4446
Dalata.744	Dalata.13621
Dalata.745	Dalata.13618
Dalata.750	Dalata.4438
Dalata.753	Dalata.4427
Dalata.754	Dalata.17478
Dalata.756	Dalata.13599
Dalata.758	Dalata.13596
Dalata.759	Dalata.13594
Dalata.761	Dalata.13590
Dalata.763	Dalata.13583
Dalata.768	Dalata.16435
Dalata.770	Dalata.16432
Dalata.771	Dalata.13561
Dalata.773	Dalata.13559
Dalata.774	Dalata.13175
Dalata.777	Dalata.4734
Dalata.781	Dalata.13180
Dalata.782	Dalata.17272
Dalata.783	Dalata.19431
Dalata.785	Dalata.23028
Dalata.788	Dalata.23035
Dalata.791	Dalata.17457
Dalata.792	Dalata.13199
Dalata.794	Dalata.19272
Dalata.796	Dalata.19270
Dalata.798	Dalata.4397
Dalata.800	Dalata.4394
Dalata.802	Dalata.19262
Dalata.804	Dalata.19254
Dalata.805	Dalata.4381
Dalata.811	Dalata.5553
Dalata.813	Dalata.18524
Dalata.818	Dalata.13240
Dalata.820	Dalata.13245
Dalata.822	Dalata.13247
Dalata.823	Dalata.13251
Dalata.826	Dalata.13252
Dalata.829	Dalata.13237
Dalata.832	Dalata.13233
Dalata.841	Dalata.13148
Dalata.846	Dalata.17163
Dalata.848	Dalata.17335
Dalata.850	Dalata.19215
Dalata.862	Dalata.14886
Dalata.866	Dalata.16534
Dalata.869	Dalata.13283
Dalata.870	Dalata.13284
Dalata.874	Dalata.22991
Dalata.876	Dalata.13288
Dalata.878	Dalata.6921
Dalata.885	Dalata.13303
Dalata.887	Dalata.4781
Dalata.888	Dalata.8258
Dalata.889	Dalata.16165
Dalata.891	Dalata.13310
Dalata.892	Dalata.16417
Dalata.894	Dalata.19014
Dalata.897	Dalata.13322
Dalata.909	Dalata.4682
Dalata.910	Dalata.19148
Dalata.911	Dalata.13348
Dalata.916	Dalata.2957
Dalata.918	Dalata.13361
Dalata.919	Dalata.13360
Dalata.922	Dalata.13368
Dalata.923	Dalata.13369
Dalata.924	Dalata.13370
Dalata.925	Dalata.5497
Dalata.929	Dalata.13374
Dalata.931	Dalata.18924
Dalata.932	Dalata.21164
Dalata.934	Dalata.13381
Dalata.936	Dalata.13382
Dalata.937	Dalata.13385
Dalata.938	Dalata.24941
Dalata.941	Dalata.13401
Dalata.946	Dalata.18887
Dalata.949	Dalata.13424
Dalata.951	Dalata.13417
Dalata.952	Dalata.25105
Dalata.953	Dalata.13414
Dalata.956	Dalata.13410
Dalata.962	Dalata.18859
Dalata.963	Dalata.13433
Dalata.965	Dalata.13438
Dalata.967	Dalata.4538
Dalata.969	Dalata.13444
Dalata.970	Dalata.21868
Dalata.974	Dalata.2441
Dalata.978	Dalata.18818
Dalata.981	Dalata.13471
Dalata.982	Dalata.22353
Dalata.998	Dalata.15106
Dalata.999	Dalata.15107
