Chr	LocusName	CompositePos	GenomePos	TDa1401+TDa1401B	TDa1419+TDa1610	TDa1427	TDa1403	TDa1603
Chr5	Chr5:128414	0	128414	0	-	-	-	-
Chr5	Chr5:205408	0.687	205408	-	-	-	0	-
Chr5	Chr5:216480	0.687	216480	-	-	-	0	-
Chr5	Chr5:62469	0.687	62469	0	0	0	0	0
Chr5	Chr5:56026	0.768	56026	0	0	0	0	-
Chr5	Chr5:98674	0.768	98674	0	0	0	0	-
Chr5	Chr5:202037	0.768	202037	0.241	0	0	0	-
Chr5	Chr5:186918	0.768	186918	-	0	-	-	0.662
Chr5	Chr5:277318	1.097	277318	-	0	-	-	-
Chr5	Chr5:293779	1.216	293779	1.091	0.448	0	0.529	1.987
Chr5	Chr5:285842	1.216	285842	0.971	0.448	0	0.529	-
Chr5	Chr5:256696	1.216	256696	-	0	0	0.529	1.987
Chr5	Chr5:322462	1.596	322462	1.573	0.448	0.673	0.529	-
Chr5	Chr5:323641	1.747	323641	1.693	-	0.673	0.529	-
Chr5	Chr5:354751	1.747	354751	-	0.897	0	1.06	-
Chr5	Chr5:315923	1.889	315923	-	-	0.673	-	-
Chr5	Chr5:360771	2.547	360771	2.175	-	-	-	4.651
Chr5	Chr5:361729	2.547	361729	-	1.801	-	-	3.318
Chr5	Chr5:397443	2.731	397443	-	-	1.515	1.59	4.651
Chr5	Chr5:424359	2.898	424359	2.777	1.801	1.682	1.59	-
Chr5	Chr5:424908	2.898	424908	2.898	1.801	1.682	1.59	-
Chr5	Chr5:403238	2.898	403238	-	1.801	-	-	-
Chr5	Chr5:425003	3.123	425003	3.745	1.801	1.682	1.59	-
Chr5	Chr5:441919	3.593	441919	-	1.801	1.347	2.659	5.643
Chr5	Chr5:444960	3.726	444960	4.348	1.801	1.347	2.659	6.637
Chr5	Chr5:445017	3.967	445017	4.589	1.801	2.358	2.659	-
Chr5	Chr5:454088	4.737	454088	4.95	-	2.358	3.803	-
Chr5	Chr5:482364	4.737	482364	-	2.428	2.358	3.803	-
Chr5	Chr5:485576	5.055	485576	5.677	2.556	2.358	3.803	6.637
Chr5	Chr5:526979	6.377	526979	-	2.806	3.814	-	9.288
Chr5	Chr5:531600	6.627	531600	7.26	3.056	3.814	-	-
Chr5	Chr5:572670	7.632	572670	8.107	3.559	5.269	-	-
Chr5	Chr5:601096	7.632	601096	9.573	4.061	4.263	-	-
Chr5	Chr5:573665	7.632	573665	-	4.328	4.263	-	-
Chr5	Chr5:573698	7.632	573698	-	4.328	4.263	4.655	-
Chr5	Chr5:653578	9.123	653578	-	5.588	5.524	8.723	10.597
Chr5	Chr5:766215	10.32	766215	-	6.749	-	-	-
Chr5	Chr5:787978	10.907	787978	11.529	-	-	-	-
Chr5	Chr5:995275	11.775	995275	-	8.204	7.429	12.792	-
Chr5	Chr5:993956	12.025	993956	-	8.49	-	-	13.247
Chr5	Chr5:995325	13.368	995325	13.99	-	-	-	-
Chr5	Chr5:1018618	13.702	1018618	-	8.49	8.056	15.813	-
Chr5	Chr5:1281680	13.702	1281680	-	-	-	14.966	-
Chr5	Chr5:1055904	13.89	1055904	-	9.029	8.056	16.8	-
Chr5	Chr5:1076413	13.89	1076413	-	9.029	8.056	16.8	-
Chr5	Chr5:1076613	13.947	1076613	-	10.98	-	-	14.556
Chr5	Chr5:1129018	13.947	1129018	-	-	-	-	15.867
Chr5	Chr5:1076536	14.704	1076536	15.326	10.98	8.056	16.8	-
Chr5	Chr5:1281750	16.724	1281750	-	11.511	12.628	17.789	-
Chr5	Chr5:1298739	17.906	1298739	17.072	-	14.533	-	-
Chr5	Chr5:1111727	17.906	1111727	-	12.931	13.81	-	-
Chr5	Chr5:1340470	18.084	1340470	-	-	-	18.462	20.004
Chr5	Chr5:1300143	18.613	1300143	17.651	13.752	14.533	-	-
Chr5	Chr5:1323468	18.613	1323468	18.866	13.572	14.533	-	-
Chr5	Chr5:1324836	18.629	1324836	19.104	-	14.533	-	22.745
Chr5	Chr5:1324865	18.629	1324865	19.347	-	14.533	-	-
Chr5	Chr5:1341240	18.793	1341240	19.341	-	14.868	18.462	-
Chr5	Chr5:1362236	18.793	1362236	-	13.752	14.533	19.783	-
Chr5	Chr5:1348516	18.964	1348516	-	13.752	14.868	-	-
Chr5	Chr5:1349757	18.964	1349757	-	13.752	14.868	-	-
Chr5	Chr5:1355757	18.964	1355757	-	13.752	14.868	-	-
Chr5	Chr5:1340377	18.964	1340377	-	-	14.868	-	-
Chr5	Chr5:1356197	19.354	1356197	20.072	-	-	19.783	-
Chr5	Chr5:1427060	19.64	1427060	21.049	-	15.544	19.783	-
Chr5	Chr5:1418043	19.64	1418043	-	14.171	15.544	19.783	-
Chr5	Chr5:1511441	20.503	1511441	-	-	-	20.771	-
Chr5	Chr5:1521108	20.597	1521108	22.698	15.013	15.544	-	-
Chr5	Chr5:1546382	21.033	1546382	23.243	15.191	15.991	21.301	22.715
Chr5	Chr5:1506343	21.033	1506343	-	-	15.544	22.923	-
Chr5	Chr5:1546435	21.158	1546435	23.515	15.549	15.991	21.301	-
Chr5	Chr5:1550595	21.158	1550595	23.515	-	15.991	-	-
Chr5	Chr5:1499163	21.933	1499163	22.698	-	16.891	20.771	-
Chr5	Chr5:1570296	21.933	1570296	24.387	-	15.991	22.923	-
Chr5	Chr5:1499242	22.058	1499242	22.698	-	16.891	-	-
Chr5	Chr5:1587108	22.581	1587108	24.609	16.997	16.891	22.923	24.055
Chr5	Chr5:1642438	22.655	1642438	-	-	-	22.923	24.055
Chr5	Chr5:1624370	22.78	1624370	24.881	-	16.891	22.923	-
Chr5	Chr5:1597361	22.78	1597361	-	16.997	16.891	22.923	-
Chr5	Chr5:1638850	22.795	1638850	25.152	-	16.891	-	-
Chr5	Chr5:1683254	24.052	1683254	27.037	18.443	-	23.988	-
Chr5	Chr5:1715257	24.052	1715257	-	18.443	16.891	23.988	-
Chr5	Chr5:1669041	24.052	1669041	-	-	-	23.988	-
Chr5	Chr5:1707938	24.205	1707938	27.687	-	16.891	-	-
