Dalata.126	Ddumetorum.20355
Dalata.127	Ddumetorum.20356
Dalata.130	Ddumetorum.20358
Dalata.131	Ddumetorum.20359
Dalata.132	Ddumetorum.20360
Dalata.133	Ddumetorum.20361
Dalata.134	Ddumetorum.20362
Dalata.135	Ddumetorum.20363
Dalata.137	Ddumetorum.20348
Dalata.138	Ddumetorum.20347
Dalata.139	Ddumetorum.20346
Dalata.141	Ddumetorum.20344
Dalata.144	Ddumetorum.20343
Dalata.145	Ddumetorum.20339
Dalata.146	Ddumetorum.20338
Dalata.147	Ddumetorum.20337
Dalata.149	Ddumetorum.20336
Dalata.156	Ddumetorum.20329
Dalata.159	Ddumetorum.20334
Dalata.162	Ddumetorum.20325
Dalata.164	Ddumetorum.20321
Dalata.166	Ddumetorum.20320
Dalata.169	Ddumetorum.20309
Dalata.170	Ddumetorum.20311
Dalata.175	Ddumetorum.20316
Dalata.176	Ddumetorum.20318
Dalata.177	Ddumetorum.20319
Dalata.182	Ddumetorum.20305
Dalata.184	Ddumetorum.20299
Dalata.186	Ddumetorum.20297
Dalata.187	Ddumetorum.20295
Dalata.188	Ddumetorum.20294
Dalata.190	Ddumetorum.20285
Dalata.191	Ddumetorum.20285
Dalata.193	Ddumetorum.20284
Dalata.194	Ddumetorum.20283
Dalata.197	Ddumetorum.20270
Dalata.199	Ddumetorum.20270
Dalata.204	Ddumetorum.20219
Dalata.211	Ddumetorum.20210
Dalata.212	Ddumetorum.20211
Dalata.214	Ddumetorum.20214
Dalata.220	Ddumetorum.20263
Dalata.221	Ddumetorum.20262
Dalata.222	Ddumetorum.20261
Dalata.223	Ddumetorum.20255
Dalata.229	Ddumetorum.20254
Dalata.233	Ddumetorum.20246
Dalata.237	Ddumetorum.20235
Dalata.238	Ddumetorum.20228
Dalata.303	Ddumetorum.20390
Dalata.304	Ddumetorum.20391
Dalata.308	Ddumetorum.20394
Dalata.310	Ddumetorum.20396
Dalata.311	Ddumetorum.20397
Dalata.312	Ddumetorum.20398
Dalata.313	Ddumetorum.20399
Dalata.314	Ddumetorum.20400
Dalata.316	Ddumetorum.20401
Dalata.317	Ddumetorum.20352
Dalata.319	Ddumetorum.20351
Dalata.324	Ddumetorum.20365
Dalata.330	Ddumetorum.20366
Dalata.332	Ddumetorum.20368
Dalata.333	Ddumetorum.20369
Dalata.334	Ddumetorum.20370
Dalata.335	Ddumetorum.20371
Dalata.337	Ddumetorum.20375
Dalata.340	Ddumetorum.20376
Dalata.344	Ddumetorum.20377
Dalata.345	Ddumetorum.20378
Dalata.346	Ddumetorum.20379
Dalata.347	Ddumetorum.20382
Dalata.349	Ddumetorum.20383
Dalata.350	Ddumetorum.20384
Dalata.351	Ddumetorum.20385
Dalata.353	Ddumetorum.20208
Dalata.354	Ddumetorum.20235
Dalata.356	Ddumetorum.20205
Dalata.370	Ddumetorum.20199
Dalata.376	Ddumetorum.20198
Dalata.377	Ddumetorum.20197
Dalata.379	Ddumetorum.20196
Dalata.380	Ddumetorum.20195
Dalata.381	Ddumetorum.20194
Dalata.383	Ddumetorum.20193
Dalata.384	Ddumetorum.20192
Dalata.386	Ddumetorum.20191
Dalata.388	Ddumetorum.20190
Dalata.390	Ddumetorum.20186
Dalata.391	Ddumetorum.20180
Dalata.394	Ddumetorum.20178
Dalata.395	Ddumetorum.20177
Dalata.406	Ddumetorum.20170
Dalata.407	Ddumetorum.20169
Dalata.408	Ddumetorum.20166
Dalata.409	Ddumetorum.20163
Dalata.415	Ddumetorum.20154
Dalata.416	Ddumetorum.20153
Dalata.422	Ddumetorum.20151
Dalata.423	Ddumetorum.20149
Dalata.424	Ddumetorum.20148
Dalata.426	Ddumetorum.20146
Dalata.428	Ddumetorum.20143
Dalata.429	Ddumetorum.20141
Dalata.430	Ddumetorum.20140
Dalata.432	Ddumetorum.20139
Dalata.433	Ddumetorum.20138
Dalata.434	Ddumetorum.20137
Dalata.435	Ddumetorum.20136
Dalata.436	Ddumetorum.20135
Dalata.437	Ddumetorum.20134
Dalata.438	Ddumetorum.20133
Dalata.439	Ddumetorum.20132
Dalata.440	Ddumetorum.20131
Dalata.441	Ddumetorum.20130
Dalata.443	Ddumetorum.20127
Dalata.444	Ddumetorum.20128
Dalata.445	Ddumetorum.20123
Dalata.448	Ddumetorum.20121
Dalata.449	Ddumetorum.20120
Dalata.452	Ddumetorum.20119
Dalata.454	Ddumetorum.20116
Dalata.456	Ddumetorum.20115
Dalata.458	Ddumetorum.20111
Dalata.460	Ddumetorum.20107
Dalata.461	Ddumetorum.20106
Dalata.462	Ddumetorum.20105
Dalata.463	Ddumetorum.20104
Dalata.464	Ddumetorum.20102
Dalata.465	Ddumetorum.20100
Dalata.466	Ddumetorum.20098
Dalata.467	Ddumetorum.20097
Dalata.468	Ddumetorum.20096
Dalata.469	Ddumetorum.20095
Dalata.470	Ddumetorum.20094
Dalata.471	Ddumetorum.20093
Dalata.474	Ddumetorum.20092
Dalata.476	Ddumetorum.20091
Dalata.478	Ddumetorum.20090
Dalata.480	Ddumetorum.20089
Dalata.481	Ddumetorum.20088
Dalata.483	Ddumetorum.20086
Dalata.485	Ddumetorum.20084
Dalata.487	Ddumetorum.20083
Dalata.489	Ddumetorum.20082
Dalata.490	Ddumetorum.20081
Dalata.492	Ddumetorum.20080
Dalata.493	Ddumetorum.20079
Dalata.495	Ddumetorum.20077
Dalata.496	Ddumetorum.20076
Dalata.499	Ddumetorum.20075
Dalata.500	Ddumetorum.20074
Dalata.503	Ddumetorum.20072
Dalata.504	Ddumetorum.20071
Dalata.507	Ddumetorum.20070
Dalata.510	Ddumetorum.20068
Dalata.511	Ddumetorum.20067
Dalata.512	Ddumetorum.20066
Dalata.514	Ddumetorum.20065
Dalata.516	Ddumetorum.20064
Dalata.517	Ddumetorum.20063
Dalata.518	Ddumetorum.20062
Dalata.519	Ddumetorum.20061
Dalata.520	Ddumetorum.20060
