CHROM	START	END	HET	HOM
Chr1	0	151518	0	0.00698
Chr1	10000	164313	0	0.00716
Chr1	20000	173583	0	0.00763
Chr1	30000	178369	0	0.00778
Chr1	40000	185760	0	0.00789
Chr1	50000	198318	0	0.0083
Chr1	60000	207618	0	0.00763
Chr1	70000	215964	0	0.00713
Chr1	80000	218124	0	0.00692
Chr1	90000	223260	0	0.00715
Chr1	100000	234017	0	0.0078
Chr1	110000	262953	4e-05	0.00831
Chr1	120000	297267	4e-05	0.00983
Chr1	130000	309892	0.00085	0.00962
Chr1	140000	318747	0.00136	0.00886
Chr1	150000	329132	0.00189	0.00814
Chr1	160000	336738	0.00222	0.00778
Chr1	170000	339510	0.00239	0.00737
Chr1	180000	347228	0.00283	0.00629
Chr1	190000	358285	0.0036	0.00584
Chr1	200000	369293	0.00473	0.00492
Chr1	210000	379145	0.00596	0.00466
Chr1	220000	388623	0.00724	0.00433
Chr1	230000	400480	0.00833	0.00354
Chr1	240000	405792	0.00897	0.00297
Chr1	250000	406319	0.00905	0.00289
Chr1	260000	411643	0.00951	0.00259
Chr1	270000	413833	0.00972	0.00253
Chr1	280000	430277	0.00994	0.00197
Chr1	290000	432207	0.01028	0.0018
Chr1	300000	483868	0.01146	0.00041
Chr1	310000	507258	0.01231	0.00025
Chr1	320000	573658	0.01231	0.00025
Chr1	330000	625122	0.01218	0.00025
Chr1	340000	668141	0.01246	0.00026
Chr1	350000	711920	0.01266	0.00031
Chr1	360000	737598	0.01263	0.00081
Chr1	370000	759591	0.01198	0.00234
Chr1	380000	773663	0.01153	0.00267
Chr1	390000	783735	0.01136	0.00292
Chr1	400000	794444	0.01157	0.00299
Chr1	410000	814377	0.01151	0.003
Chr1	420000	818127	0.01144	0.003
Chr1	430000	820680	0.01146	0.003
Chr1	440000	827535	0.0111	0.003
Chr1	450000	827906	0.01113	0.003
Chr1	460000	827906	0.01113	0.003
Chr1	470000	827906	0.01113	0.003
Chr1	480000	828657	0.01123	0.003
Chr1	490000	833172	0.01061	0.003
Chr1	500000	838433	0.01057	0.003
Chr1	510000	844322	0.00984	0.003
Chr1	520000	859365	0.00992	0.003
Chr1	530000	861095	0.00997	0.003
Chr1	540000	861182	0.00996	0.003
Chr1	550000	861621	0.01003	0.003
Chr1	560000	865385	0.01015	0.003
Chr1	570000	869208	0.01026	0.003
Chr1	580000	869697	0.0104	0.003
Chr1	590000	869697	0.0104	0.003
Chr1	600000	872294	0.01043	0.003
Chr1	610000	874484	0.01033	0.003
Chr1	620000	876440	0.01031	0.003
Chr1	630000	879154	0.01079	0.003
Chr1	640000	881850	0.01084	0.003
Chr1	650000	884581	0.01091	0.003
Chr1	660000	888184	0.01094	0.003
Chr1	670000	894007	0.01062	0.00298
Chr1	680000	899755	0.01009	0.00298
Chr1	690000	904168	0.01026	0.00295
Chr1	700000	904900	0.01032	0.00295
Chr1	710000	908188	0.01047	0.00295
Chr1	720000	950896	0.01043	0.00283
Chr1	730000	957198	0.01048	0.00248
Chr1	740000	958307	0.01041	0.00243
Chr1	750000	959937	0.01044	0.00213
Chr1	760000	967929	0.01078	0.0009
Chr1	770000	974188	0.0105	0.00073
Chr1	780000	983232	0.01032	0.00022
Chr1	790000	996403	0.01038	9e-05
Chr1	800000	1001794	0.01013	6e-05
Chr1	810000	1010046	0.00982	0
Chr1	820000	1018390	0.00977	0
Chr1	830000	1029020	0.00905	0
Chr1	840000	1040906	0.00902	0
Chr1	850000	1046430	0.00923	0
Chr1	860000	1049690	0.00905	0
Chr1	870000	1054280	0.00852	0
Chr1	880000	1068444	0.00844	0
Chr1	890000	1081763	0.00846	0
Chr1	900000	1088478	0.00895	0
Chr1	910000	1098318	0.00897	0
Chr1	920000	1099268	0.00892	0
Chr1	930000	1099268	0.00892	0
Chr1	940000	1099440	0.00892	0
Chr1	950000	1099440	0.00892	0
Chr1	960000	1127149	0.00863	0
Chr1	970000	1137795	0.008	0
Chr1	980000	1145872	0.00763	0
Chr1	990000	1163994	0.0072	0
Chr1	1000000	1181836	0.00667	0
Chr1	1010000	1194361	0.0065	3e-05
Chr1	1020000	1209086	0.00582	0.00015
Chr1	1030000	1226960	0.00559	0.00025
Chr1	1040000	1243049	0.00564	0.00033
Chr1	1050000	1257094	0.00556	0.00048
Chr1	1060000	1265990	0.00558	0.00052
Chr1	1070000	1283409	0.00533	0.0006
Chr1	1080000	1288634	0.00512	0.00062
Chr1	1090000	1296644	0.00452	0.0007
Chr1	1100000	1322788	0.00406	0.00087
Chr1	1110000	1329234	0.00398	0.00097
Chr1	1120000	1330677	0.00396	0.00098
Chr1	1130000	1336370	0.0039	0.00111
Chr1	1140000	1351275	0.00403	0.00116
Chr1	1150000	1364653	0.00396	0.0012
Chr1	1160000	1370260	0.00386	0.0012
Chr1	1170000	1374093	0.00383	0.0012
Chr1	1180000	1380909	0.00373	0.00125
Chr1	1190000	1422348	0.00377	0.00139
Chr1	1200000	1438562	0.00382	0.00139
Chr1	1210000	1448162	0.00376	0.00133
Chr1	1220000	1475501	0.00377	0.00128
Chr1	1230000	1482590	0.00373	0.00121
Chr1	1240000	1489040	0.00364	0.00121
Chr1	1250000	1519184	0.00376	0.00118
Chr1	1260000	1527801	0.00364	0.00115
Chr1	1270000	1541665	0.00353	0.00119
Chr1	1280000	1564379	0.00349	0.00143
Chr1	1290000	1652498	0.00343	0.00142
Chr1	1300000	1698188	0.00339	0.00132
Chr1	1310000	1713471	0.0036	0.00128
Chr1	1320000	1718193	0.00358	0.00121
Chr1	1330000	1729459	0.00381	0.00117
Chr1	1340000	1769331	0.00421	0.00106
Chr1	1350000	1793285	0.00442	0.00103
Chr1	1360000	1828037	0.00438	0.00104
Chr1	1370000	1871052	0.0045	0.00106
Chr1	1380000	1878098	0.00448	0.00105
Chr1	1390000	1883810	0.00446	0.00101
Chr1	1400000	1898375	0.0046	0.00099
Chr1	1410000	1898731	0.00463	0.00098
Chr1	1420000	1910481	0.0047	0.00095
Chr1	1430000	1928921	0.0047	0.0009
Chr1	1440000	1946779	0.00477	0.00083
Chr1	1450000	2034435	0.00485	0.00086
