Dalata.17	Eguineensis.17323
Dalata.20	Eguineensis.17320
Dalata.26	Eguineensis.17314
Dalata.36	Eguineensis.17298
Dalata.37	Eguineensis.17291
Dalata.41	Eguineensis.17288
Dalata.45	Eguineensis.17284
Dalata.51	Eguineensis.17276
Dalata.52	Eguineensis.17274
Dalata.53	Eguineensis.17275
Dalata.61	Eguineensis.17273
Dalata.83	Eguineensis.17270
Dalata.85	Eguineensis.17267
Dalata.87	Eguineensis.17266
Dalata.92	Eguineensis.17253
Dalata.97	Eguineensis.17248
Dalata.99	Eguineensis.17246
Dalata.100	Eguineensis.17242
Dalata.105	Eguineensis.17236
Dalata.107	Eguineensis.17233
Dalata.108	Eguineensis.17225
Dalata.109	Eguineensis.17224
Dalata.114	Eguineensis.17211
Dalata.115	Eguineensis.17212
Dalata.128	Eguineensis.17138
Dalata.132	Eguineensis.17143
Dalata.133	Eguineensis.17145
Dalata.144	Eguineensis.17116
Dalata.162	Eguineensis.17100
Dalata.164	Eguineensis.17101
Dalata.170	Eguineensis.17098
Dalata.171	Eguineensis.17093
Dalata.177	Eguineensis.17091
Dalata.181	Eguineensis.16527
Dalata.184	Eguineensis.16530
Dalata.186	Eguineensis.16531
Dalata.187	Eguineensis.16533
Dalata.188	Eguineensis.16534
Dalata.189	Eguineensis.16536
Dalata.194	Eguineensis.16539
Dalata.215	Eguineensis.16562
Dalata.221	Eguineensis.16565
Dalata.223	Eguineensis.16484
Dalata.229	Eguineensis.16489
Dalata.236	Eguineensis.16494
Dalata.238	Eguineensis.16505
Dalata.306	Eguineensis.17186
Dalata.311	Eguineensis.17188
Dalata.313	Eguineensis.17193
Dalata.316	Eguineensis.17195
Dalata.319	Eguineensis.17126
Dalata.321	Eguineensis.17120
Dalata.335	Eguineensis.17163
Dalata.345	Eguineensis.17168
Dalata.348	Eguineensis.17176
Dalata.377	Eguineensis.16831
Dalata.381	Eguineensis.16842
Dalata.384	Eguineensis.16853
Dalata.385	Eguineensis.16854
Dalata.395	Eguineensis.16884
Dalata.408	Eguineensis.16900
Dalata.409	Eguineensis.16901
Dalata.411	Eguineensis.16904
Dalata.413	Eguineensis.16907
Dalata.422	Eguineensis.16911
Dalata.434	Eguineensis.16921
Dalata.435	Eguineensis.16922
Dalata.436	Eguineensis.16923
Dalata.438	Eguineensis.16927
Dalata.446	Eguineensis.16942
Dalata.452	Eguineensis.16954
Dalata.458	Eguineensis.16967
Dalata.462	Eguineensis.16974
Dalata.463	Eguineensis.16970
Dalata.465	Eguineensis.16977
Dalata.467	Eguineensis.16981
Dalata.468	Eguineensis.16983
Dalata.469	Eguineensis.16984
Dalata.471	Eguineensis.16986
Dalata.476	Eguineensis.17000
Dalata.478	Eguineensis.17001
Dalata.479	Eguineensis.17010
Dalata.480	Eguineensis.17011
Dalata.487	Eguineensis.17023
Dalata.490	Eguineensis.17025
Dalata.499	Eguineensis.17047
Dalata.500	Eguineensis.17049
Dalata.504	Eguineensis.17057
Dalata.510	Eguineensis.17059
Dalata.522	Eguineensis.16822
Dalata.528	Eguineensis.16807
Dalata.529	Eguineensis.16806
Dalata.585	Eguineensis.16801
Dalata.591	Eguineensis.16741
Dalata.593	Eguineensis.16745
Dalata.595	Eguineensis.16747
Dalata.597	Eguineensis.16749
Dalata.601	Eguineensis.16759
Dalata.608	Eguineensis.16774
Dalata.609	Eguineensis.16776
Dalata.612	Eguineensis.16785
Dalata.615	Eguineensis.16789
Dalata.616	Eguineensis.16792
Dalata.628	Eguineensis.16337
Dalata.634	Eguineensis.16333
Dalata.638	Eguineensis.16324
Dalata.639	Eguineensis.16323
Dalata.646	Eguineensis.16316
Dalata.652	Eguineensis.16303
Dalata.655	Eguineensis.16299
Dalata.660	Eguineensis.16296
Dalata.853	Eguineensis.16570
Dalata.854	Eguineensis.16577
Dalata.856	Eguineensis.16580
Dalata.858	Eguineensis.16587
Dalata.860	Eguineensis.16588
Dalata.862	Eguineensis.16589
Dalata.868	Eguineensis.16592
Dalata.872	Eguineensis.16601
Dalata.877	Eguineensis.16606
Dalata.882	Eguineensis.16611
Dalata.899	Eguineensis.16598
Dalata.904	Eguineensis.16671
Dalata.912	Eguineensis.16631
Dalata.916	Eguineensis.16644
Dalata.919	Eguineensis.16647
Dalata.921	Eguineensis.16649
Dalata.927	Eguineensis.16653
Dalata.928	Eguineensis.16660
Dalata.932	Eguineensis.16665
Dalata.91	Eguineensis.19829
Dalata.93	Eguineensis.19831
Dalata.94	Eguineensis.19832
Dalata.98	Eguineensis.19835
Dalata.110	Eguineensis.19852
Dalata.116	Eguineensis.19858
Dalata.123	Eguineensis.19868
Dalata.131	Eguineensis.19932
Dalata.135	Eguineensis.19930
Dalata.138	Eguineensis.19949
Dalata.139	Eguineensis.19950
Dalata.156	Eguineensis.19968
Dalata.175	Eguineensis.19979
Dalata.193	Eguineensis.19986
Dalata.214	Eguineensis.20015
Dalata.222	Eguineensis.20007
Dalata.304	Eguineensis.19891
Dalata.307	Eguineensis.19886
Dalata.308	Eguineensis.19885
Dalata.309	Eguineensis.19884
Dalata.330	Eguineensis.19928
Dalata.334	Eguineensis.19917
Dalata.342	Eguineensis.19911
Dalata.343	Eguineensis.19910
Dalata.425	Eguineensis.20123
Dalata.427	Eguineensis.20121
Dalata.429	Eguineensis.20117
Dalata.432	Eguineensis.20114
Dalata.439	Eguineensis.20106
Dalata.445	Eguineensis.20098
Dalata.448	Eguineensis.20094
Dalata.454	Eguineensis.20089
Dalata.457	Eguineensis.20081
Dalata.461	Eguineensis.20080
Dalata.464	Eguineensis.20078
Dalata.466	Eguineensis.20077
Dalata.470	Eguineensis.20073
Dalata.473	Eguineensis.20070
Dalata.485	Eguineensis.20061
Dalata.489	Eguineensis.20049
Dalata.492	Eguineensis.20052
Dalata.503	Eguineensis.20039
Dalata.511	Eguineensis.20037
Dalata.514	Eguineensis.20033
Dalata.520	Eguineensis.20021
Dalata.629	Eguineensis.20194
Dalata.645	Eguineensis.20209
Dalata.673	Eguineensis.20229
Dalata.677	Eguineensis.20234
Dalata.679	Eguineensis.20238
Dalata.708	Eguineensis.20258
Dalata.710	Eguineensis.20190
Dalata.711	Eguineensis.20189
Dalata.720	Eguineensis.20313
Dalata.724	Eguineensis.20267
Dalata.729	Eguineensis.20271
Dalata.734	Eguineensis.20275
Dalata.762	Eguineensis.20478
Dalata.765	Eguineensis.20480
Dalata.766	Eguineensis.20483
Dalata.767	Eguineensis.20490
Dalata.773	Eguineensis.20498
Dalata.849	Eguineensis.20365
Dalata.851	Eguineensis.20371
Dalata.859	Eguineensis.20386
Dalata.863	Eguineensis.20390
Dalata.865	Eguineensis.20391
Dalata.884	Eguineensis.20330
Dalata.887	Eguineensis.20318
Dalata.889	Eguineensis.20316
Dalata.900	Eguineensis.20298
Dalata.947	Eguineensis.21455
Dalata.949	Eguineensis.21452
Dalata.950	Eguineensis.21450
Dalata.954	Eguineensis.21445
Dalata.957	Eguineensis.21437
Dalata.961	Eguineensis.21434
Dalata.38	Eguineensis.22959
Dalata.46	Eguineensis.22966
Dalata.54	Eguineensis.22973
Dalata.81	Eguineensis.22977
Dalata.82	Eguineensis.22978
Dalata.84	Eguineensis.22982
Dalata.88	Eguineensis.22981
Dalata.89	Eguineensis.22980
Dalata.4	Eguineensis.23362
Dalata.8	Eguineensis.23358
Dalata.9	Eguineensis.23359
Dalata.10	Eguineensis.23360
Dalata.12	Eguineensis.23361
Dalata.15	Eguineensis.23363
Dalata.24	Eguineensis.23370
Dalata.25	Eguineensis.23371
Dalata.27	Eguineensis.23372
Dalata.1198	Eguineensis.6429
Dalata.1202	Eguineensis.6440
Dalata.1203	Eguineensis.6442
Dalata.1204	Eguineensis.6445
Dalata.1205	Eguineensis.6448
Dalata.1214	Eguineensis.6449
Dalata.1219	Eguineensis.6451
Dalata.1224	Eguineensis.6457
Dalata.1230	Eguineensis.6460
Dalata.1252	Eguineensis.6479
Dalata.1269	Eguineensis.6484
Dalata.1271	Eguineensis.6485
Dalata.1273	Eguineensis.6491
Dalata.1343	Eguineensis.6501
Dalata.1351	Eguineensis.6507
Dalata.1375	Eguineensis.6509
Dalata.1378	Eguineensis.6514
Dalata.1429	Eguineensis.6806
Dalata.1430	Eguineensis.6805
Dalata.1431	Eguineensis.6804
Dalata.1435	Eguineensis.6798
Dalata.1443	Eguineensis.6793
Dalata.1457	Eguineensis.6784
Dalata.1467	Eguineensis.6769
Dalata.1473	Eguineensis.6770
Dalata.1474	Eguineensis.6771
Dalata.1481	Eguineensis.6828
Dalata.1492	Eguineensis.6821
Dalata.1493	Eguineensis.6819
Dalata.1497	Eguineensis.6817
Dalata.1502	Eguineensis.6761
Dalata.1509	Eguineensis.6773
Dalata.1522	Eguineensis.6834
Dalata.1523	Eguineensis.6835
Dalata.1524	Eguineensis.6837
Dalata.1526	Eguineensis.6841
Dalata.1527	Eguineensis.6842
Dalata.1528	Eguineensis.6820
Dalata.1529	Eguineensis.6843
Dalata.1539	Eguineensis.6849
Dalata.1541	Eguineensis.6851
Dalata.1542	Eguineensis.6852
Dalata.1549	Eguineensis.6861
Dalata.1550	Eguineensis.6860
Dalata.1556	Eguineensis.6867
Dalata.1580	Eguineensis.6881
Dalata.1587	Eguineensis.6888
Dalata.1588	Eguineensis.6889
Dalata.1590	Eguineensis.6891
Dalata.1591	Eguineensis.6893
Dalata.1594	Eguineensis.6895
Dalata.1597	Eguineensis.6897
Dalata.1598	Eguineensis.6898
Dalata.1599	Eguineensis.6900
Dalata.1667	Eguineensis.6708
Dalata.1668	Eguineensis.6707
Dalata.1678	Eguineensis.6703
Dalata.1681	Eguineensis.6699
Dalata.1690	Eguineensis.6711
Dalata.1697	Eguineensis.6721
Dalata.1699	Eguineensis.6723
Dalata.1710	Eguineensis.6730
Dalata.1727	Eguineensis.6737
Dalata.1730	Eguineensis.6740
Dalata.1732	Eguineensis.6744
Dalata.1733	Eguineensis.6745
Dalata.1736	Eguineensis.6746
Dalata.1737	Eguineensis.6747
Dalata.1738	Eguineensis.6751
Dalata.1739	Eguineensis.6753
Dalata.1751	Eguineensis.6690
Dalata.1752	Eguineensis.6688
Dalata.1753	Eguineensis.6687
Dalata.1756	Eguineensis.6684
Dalata.1757	Eguineensis.6680
Dalata.1771	Eguineensis.6903
Dalata.1773	Eguineensis.6904
Dalata.1777	Eguineensis.6910
Dalata.1780	Eguineensis.6911
Dalata.1785	Eguineensis.6913
Dalata.1787	Eguineensis.6914
Dalata.1789	Eguineensis.6916
Dalata.1790	Eguineensis.6917
Dalata.1799	Eguineensis.6918
Dalata.1805	Eguineensis.6928
Dalata.1810	Eguineensis.6932
Dalata.1811	Eguineensis.6933
Dalata.1813	Eguineensis.6935
Dalata.1814	Eguineensis.6937
Dalata.1852	Eguineensis.6941
Dalata.1853	Eguineensis.6943
Dalata.1858	Eguineensis.6946
Dalata.1859	Eguineensis.6947
Dalata.1863	Eguineensis.7755
Dalata.1864	Eguineensis.7757
Dalata.1865	Eguineensis.7758
Dalata.1867	Eguineensis.7766
Dalata.1869	Eguineensis.7767
Dalata.1876	Eguineensis.7772
Dalata.1877	Eguineensis.7775
Dalata.1879	Eguineensis.7776
Dalata.1880	Eguineensis.7777
Dalata.1890	Eguineensis.7783
Dalata.1893	Eguineensis.7779
Dalata.1895	Eguineensis.7791
Dalata.1897	Eguineensis.7794
Dalata.1898	Eguineensis.7795
Dalata.1902	Eguineensis.7805
Dalata.1913	Eguineensis.7814
Dalata.1922	Eguineensis.7830
Dalata.1947	Eguineensis.7880
Dalata.1951	Eguineensis.7877
Dalata.1953	Eguineensis.7875
Dalata.1975	Eguineensis.7861
Dalata.1976	Eguineensis.7860
Dalata.1981	Eguineensis.7852
Dalata.1987	Eguineensis.7843
Dalata.1770	Eguineensis.15519
Dalata.1776	Eguineensis.15512
Dalata.1786	Eguineensis.15526
Dalata.1802	Eguineensis.15537
Dalata.1803	Eguineensis.15539
Dalata.1806	Eguineensis.15550
