CHROM	START	END	HET	HOM
Chr1	0	187671	0.00847	0.00101
Chr1	10000	195248	0.00852	0.00138
Chr1	20000	203076	0.00897	0.00152
Chr1	30000	207600	0.00933	0.00159
Chr1	40000	213078	0.00957	0.00181
Chr1	50000	222282	0.00961	0.0019
Chr1	60000	233206	0.00974	0.00224
Chr1	70000	256347	0.00983	0.00245
Chr1	80000	258934	0.00977	0.00247
Chr1	90000	288948	0.01009	0.00313
Chr1	100000	302838	0.01079	0.00405
Chr1	110000	314687	0.01129	0.00415
Chr1	120000	321294	0.01136	0.00421
Chr1	130000	331389	0.01171	0.00434
Chr1	140000	345833	0.01169	0.00448
Chr1	150000	356216	0.01208	0.00473
Chr1	160000	361015	0.01236	0.00485
Chr1	170000	365143	0.01182	0.00504
Chr1	180000	375616	0.01167	0.00534
Chr1	190000	391933	0.0121	0.00574
Chr1	200000	400193	0.01159	0.0061
Chr1	210000	410344	0.0112	0.00648
Chr1	220000	434883	0.01294	0.00718
Chr1	230000	510663	0.01348	0.00761
Chr1	240000	529227	0.01359	0.00732
Chr1	250000	549619	0.01369	0.00731
Chr1	260000	661180	0.01373	0.00737
Chr1	270000	674108	0.01373	0.00747
Chr1	280000	680825	0.01396	0.00736
Chr1	290000	686394	0.01367	0.00712
Chr1	300000	720253	0.01354	0.00623
Chr1	310000	734964	0.01349	0.00616
Chr1	320000	759383	0.01425	0.00602
Chr1	330000	770539	0.01464	0.006
Chr1	340000	781131	0.01499	0.00589
Chr1	350000	788312	0.0148	0.00575
Chr1	360000	806597	0.01449	0.00532
Chr1	370000	820922	0.01443	0.00468
Chr1	380000	831026	0.0146	0.00454
Chr1	390000	841768	0.01419	0.00397
Chr1	400000	867658	0.01448	0.00318
Chr1	410000	880967	0.01496	0.00256
Chr1	420000	895241	0.01414	0.00235
Chr1	430000	904457	0.01374	0.0022
Chr1	440000	953494	0.01305	0.00147
Chr1	450000	953494	0.01305	0.00147
Chr1	460000	953494	0.01305	0.00147
Chr1	470000	956194	0.01317	0.00144
Chr1	480000	958632	0.01302	0.00125
Chr1	490000	958639	0.01302	0.00126
Chr1	500000	958775	0.01302	0.00126
Chr1	510000	962394	0.01246	0.00126
Chr1	520000	967890	0.0123	0.00136
Chr1	530000	969153	0.01197	0.00138
Chr1	540000	969580	0.01196	0.00144
Chr1	550000	970046	0.01188	0.00145
Chr1	560000	970046	0.01188	0.00145
Chr1	570000	970046	0.01188	0.00145
Chr1	580000	970074	0.01188	0.00145
Chr1	590000	970074	0.01188	0.00145
Chr1	600000	970165	0.01191	0.00145
Chr1	610000	970239	0.01191	0.00145
Chr1	620000	970404	0.01182	0.00144
Chr1	630000	971622	0.01178	0.00143
Chr1	640000	972737	0.01158	0.0014
Chr1	650000	973715	0.01152	0.0014
Chr1	660000	974000	0.01153	0.00138
Chr1	670000	975833	0.0115	0.00131
Chr1	680000	978972	0.01132	0.00109
Chr1	690000	983559	0.01146	0.00134
Chr1	700000	984759	0.01146	0.00142
Chr1	710000	985960	0.0115	0.00147
Chr1	720000	989888	0.01161	0.00167
Chr1	730000	999776	0.01136	0.00195
Chr1	740000	1001975	0.01137	0.00195
Chr1	750000	1004579	0.01121	0.00198
Chr1	760000	1017413	0.01086	0.00217
Chr1	770000	1029603	0.01049	0.00239
Chr1	780000	1042023	0.01036	0.00249
Chr1	790000	1048196	0.01035	0.00244
Chr1	800000	1052170	0.0103	0.00245
Chr1	810000	1059400	0.01018	0.00267
Chr1	820000	1068224	0.01024	0.00279
Chr1	830000	1081476	0.00973	0.00321
Chr1	840000	1091396	0.00989	0.00337
Chr1	850000	1096202	0.01016	0.00341
Chr1	860000	1101313	0.01055	0.00344
Chr1	870000	1127333	0.01032	0.00349
Chr1	880000	1138365	0.01022	0.00351
Chr1	890000	1141408	0.01013	0.00352
Chr1	900000	1143101	0.0102	0.00352
Chr1	910000	1148122	0.01006	0.0036
Chr1	920000	1150335	0.01019	0.00361
Chr1	930000	1150335	0.01019	0.00361
Chr1	940000	1150335	0.01019	0.00361
Chr1	950000	1150335	0.01019	0.00361
Chr1	960000	1178812	0.0105	0.00351
Chr1	970000	1195003	0.01093	0.00333
Chr1	980000	1211424	0.01144	0.00324
Chr1	990000	1227033	0.01213	0.00279
Chr1	1000000	1243392	0.01263	0.00257
Chr1	1010000	1253810	0.01333	0.00256
Chr1	1020000	1263695	0.0136	0.00239
Chr1	1030000	1282355	0.01439	0.00235
Chr1	1040000	1285850	0.01476	0.00229
Chr1	1050000	1300765	0.01501	0.00226
Chr1	1060000	1329111	0.0154	0.00223
Chr1	1070000	1337551	0.01544	0.00219
Chr1	1080000	1347788	0.01569	0.00197
Chr1	1090000	1358760	0.0157	0.00176
Chr1	1100000	1372076	0.01572	0.00173
Chr1	1110000	1374878	0.01577	0.0017
Chr1	1120000	1375558	0.01578	0.00171
Chr1	1130000	1378231	0.01592	0.00171
Chr1	1140000	1422776	0.01631	0.00185
Chr1	1150000	1454727	0.01666	0.00188
