Dalata.22838	Acomosus.4
Dalata.3	Acomosus.15614
Dalata.22833	Acomosus.5
Dalata.14062	Acomosus.6
Dalata.4	Acomosus.5349
Dalata.16041	Acomosus.7
Dalata.5	Acomosus.9645
Dalata.22824	Acomosus.8
Dalata.7	Acomosus.13743
Dalata.8	Acomosus.19468
Dalata.9	Acomosus.6915
Dalata.10	Acomosus.7801
Dalata.11	Acomosus.2667
Dalata.10845	Acomosus.10
Dalata.12	Acomosus.19467
Dalata.13	Acomosus.20768
Dalata.22823	Acomosus.11
Dalata.14	Acomosus.8216
Dalata.15	Acomosus.19466
Dalata.16	Acomosus.8217
Dalata.16	Acomosus.21043
Dalata.17	Acomosus.19465
Dalata.9978	Acomosus.13
Dalata.19	Acomosus.17809
Dalata.20	Acomosus.20762
Dalata.16031	Acomosus.14
Dalata.22810	Acomosus.15
Dalata.21	Acomosus.19462
Dalata.23	Acomosus.20759
Dalata.16019	Acomosus.18
Dalata.24	Acomosus.16271
Dalata.25	Acomosus.20758
Dalata.10817	Acomosus.20
Dalata.22788	Acomosus.21
Dalata.22787	Acomosus.22
Dalata.26	Acomosus.20757
Dalata.27	Acomosus.8303
Dalata.15598	Acomosus.24
Dalata.22869	Acomosus.26
Dalata.15978	Acomosus.27
Dalata.18182	Acomosus.28
Dalata.16008	Acomosus.29
Dalata.16009	Acomosus.30
Dalata.36	Acomosus.20744
Dalata.37	Acomosus.19454
Dalata.38	Acomosus.20740
Dalata.15969	Acomosus.34
Dalata.41	Acomosus.20717
Dalata.43	Acomosus.20721
Dalata.44	Acomosus.20722
Dalata.45	Acomosus.20723
Dalata.22757	Acomosus.40
Dalata.46	Acomosus.20724
Dalata.22753	Acomosus.41
Dalata.47	Acomosus.19451
Dalata.49	Acomosus.9766
Dalata.22752	Acomosus.42
Dalata.21118	Acomosus.44
Dalata.50	Acomosus.8246
Dalata.51	Acomosus.20730
Dalata.4455	Acomosus.45
Dalata.22223	Acomosus.46
Dalata.52	Acomosus.19447
Dalata.53	Acomosus.20731
Dalata.22228	Acomosus.47
Dalata.54	Acomosus.20732
Dalata.22230	Acomosus.49
Dalata.22229	Acomosus.50
Dalata.15914	Acomosus.51
Dalata.18124	Acomosus.52
Dalata.61	Acomosus.19446
Dalata.25114	Acomosus.56
Dalata.15619	Acomosus.58
Dalata.18088	Acomosus.59
Dalata.24145	Acomosus.60
Dalata.15877	Acomosus.61
Dalata.15876	Acomosus.61
Dalata.22251	Acomosus.64
Dalata.15881	Acomosus.65
Dalata.22255	Acomosus.67
Dalata.82	Acomosus.19444
Dalata.15892	Acomosus.69
Dalata.22262	Acomosus.70
Dalata.83	Acomosus.19443
Dalata.84	Acomosus.20733
Dalata.85	Acomosus.15899
Dalata.22266	Acomosus.73
Dalata.87	Acomosus.7792
Dalata.88	Acomosus.20734
Dalata.89	Acomosus.7791
Dalata.15144	Acomosus.75
Dalata.1043	Acomosus.76
Dalata.91	Acomosus.20714
Dalata.92	Acomosus.19431
Dalata.93	Acomosus.19430
Dalata.94	Acomosus.8263
Dalata.18030	Acomosus.78
