Dalata.186	Acomosus.7749
Dalata.193	Acomosus.7752
Dalata.306	Acomosus.7774
Dalata.319	Acomosus.7765
Dalata.320	Acomosus.7763
Dalata.8	Acomosus.19468
Dalata.12	Acomosus.19467
Dalata.15	Acomosus.19466
Dalata.17	Acomosus.19465
Dalata.21	Acomosus.19462
Dalata.37	Acomosus.19454
Dalata.47	Acomosus.19451
Dalata.52	Acomosus.19447
Dalata.61	Acomosus.19446
Dalata.82	Acomosus.19444
Dalata.83	Acomosus.19443
Dalata.92	Acomosus.19431
Dalata.93	Acomosus.19430
Dalata.97	Acomosus.19427
Dalata.105	Acomosus.19422
Dalata.106	Acomosus.19421
Dalata.107	Acomosus.19419
Dalata.108	Acomosus.19414
Dalata.110	Acomosus.19408
Dalata.116	Acomosus.19396
Dalata.128	Acomosus.19345
Dalata.131	Acomosus.19347
Dalata.132	Acomosus.19349
Dalata.133	Acomosus.19351
Dalata.137	Acomosus.19330
Dalata.138	Acomosus.19329
Dalata.156	Acomosus.19321
Dalata.170	Acomosus.19319
Dalata.181	Acomosus.19307
Dalata.184	Acomosus.19308
Dalata.187	Acomosus.19309
Dalata.221	Acomosus.19293
Dalata.222	Acomosus.19290
Dalata.223	Acomosus.19291
Dalata.380	Acomosus.19177
Dalata.381	Acomosus.19178
Dalata.384	Acomosus.19183
Dalata.388	Acomosus.19187
Dalata.408	Acomosus.19198
Dalata.413	Acomosus.19202
Dalata.429	Acomosus.19208
Dalata.436	Acomosus.19210
Dalata.439	Acomosus.19211
Dalata.448	Acomosus.19220
Dalata.452	Acomosus.19222
Dalata.458	Acomosus.19228
Dalata.462	Acomosus.19230
Dalata.468	Acomosus.19237
Dalata.470	Acomosus.19238
Dalata.471	Acomosus.19239
Dalata.481	Acomosus.19252
Dalata.487	Acomosus.19256
Dalata.489	Acomosus.19259
Dalata.500	Acomosus.19268
Dalata.504	Acomosus.19271
Dalata.510	Acomosus.19273
Dalata.511	Acomosus.19275
Dalata.514	Acomosus.19276
Dalata.520	Acomosus.19283
Dalata.521	Acomosus.19284
Dalata.523	Acomosus.19166
Dalata.528	Acomosus.19161
Dalata.532	Acomosus.19159
Dalata.539	Acomosus.19159
Dalata.579	Acomosus.19156
Dalata.606	Acomosus.19135
Dalata.607	Acomosus.19136
Dalata.608	Acomosus.19139
Dalata.629	Acomosus.19056
Dalata.631	Acomosus.19055
Dalata.634	Acomosus.19052
Dalata.652	Acomosus.19036
Dalata.672	Acomosus.19010
Dalata.679	Acomosus.18997
Dalata.765	Acomosus.19105
Dalata.767	Acomosus.19113
Dalata.799	Acomosus.19085
Dalata.802	Acomosus.19082
Dalata.807	Acomosus.19078
Dalata.808	Acomosus.19077
Dalata.811	Acomosus.19075
Dalata.819	Acomosus.19064
Dalata.824	Acomosus.19069
Dalata.829	Acomosus.19060
Dalata.833	Acomosus.19059
Dalata.843	Acomosus.18929
Dalata.845	Acomosus.18912
Dalata.849	Acomosus.18923
Dalata.850	Acomosus.18921
Dalata.854	Acomosus.18909
Dalata.856	Acomosus.18906
Dalata.859	Acomosus.18902
Dalata.865	Acomosus.18899
Dalata.868	Acomosus.18927
Dalata.882	Acomosus.18864
Dalata.884	Acomosus.18946
Dalata.888	Acomosus.18952
Dalata.919	Acomosus.18872
Dalata.940	Acomosus.18851
Dalata.952	Acomosus.18826
Dalata.966	Acomosus.18811
Dalata.967	Acomosus.18809
Dalata.976	Acomosus.18798
Dalata.978	Acomosus.18791
Dalata.979	Acomosus.18790
Dalata.638	Acomosus.20302
Dalata.643	Acomosus.20294
Dalata.645	Acomosus.20288
Dalata.646	Acomosus.20287
Dalata.655	Acomosus.20276
Dalata.660	Acomosus.20269
Dalata.663	Acomosus.20204
Dalata.673	Acomosus.20256
Dalata.675	Acomosus.20258
Dalata.684	Acomosus.20241
Dalata.685	Acomosus.20242
Dalata.690	Acomosus.20243
Dalata.692	Acomosus.20250
Dalata.710	Acomosus.20239
Dalata.718	Acomosus.20215
Dalata.733	Acomosus.20198
Dalata.734	Acomosus.20197
Dalata.739	Acomosus.20190
Dalata.741	Acomosus.20196
Dalata.775	Acomosus.20164
Dalata.818	Acomosus.20327
Dalata.820	Acomosus.20325
Dalata.825	Acomosus.20320
Dalata.827	Acomosus.20316
Dalata.830	Acomosus.20328
Dalata.842	Acomosus.20148
Dalata.844	Acomosus.20129
Dalata.853	Acomosus.20132
Dalata.863	Acomosus.20115
Dalata.873	Acomosus.20109
Dalata.899	Acomosus.20112
Dalata.912	Acomosus.20095
Dalata.913	Acomosus.20091
Dalata.932	Acomosus.20081
Dalata.945	Acomosus.20073
Dalata.947	Acomosus.20069
Dalata.950	Acomosus.20068
Dalata.953	Acomosus.20065
Dalata.954	Acomosus.20064
Dalata.964	Acomosus.20057
Dalata.982	Acomosus.20039
Dalata.13	Acomosus.20768
Dalata.20	Acomosus.20762
Dalata.23	Acomosus.20759
Dalata.25	Acomosus.20758
Dalata.26	Acomosus.20757
Dalata.36	Acomosus.20744
Dalata.38	Acomosus.20740
Dalata.41	Acomosus.20717
Dalata.43	Acomosus.20721
Dalata.44	Acomosus.20722
Dalata.45	Acomosus.20723
Dalata.46	Acomosus.20724
Dalata.51	Acomosus.20730
Dalata.53	Acomosus.20731
Dalata.54	Acomosus.20732
Dalata.84	Acomosus.20733
Dalata.88	Acomosus.20734
