CHROM	START	END	HET	HOM
Chr1	0	156297	0.00507	0.0004
Chr1	10000	171053	0.00523	0.0004
Chr1	20000	177198	0.00525	0.00038
Chr1	30000	181606	0.00513	0.00037
Chr1	40000	190024	0.00558	0.00031
Chr1	50000	199919	0.00579	0.0003
Chr1	60000	210245	0.00518	0.00025
Chr1	70000	216676	0.00479	0.00021
Chr1	80000	219787	0.00479	0.00018
Chr1	90000	225830	0.00489	0.00016
Chr1	100000	247907	0.00536	0.00057
Chr1	110000	270116	0.0055	0.00064
Chr1	120000	297858	0.00601	0.00204
Chr1	130000	308441	0.00644	0.00221
Chr1	140000	317464	0.007	0.00219
Chr1	150000	325222	0.00717	0.00216
Chr1	160000	334045	0.00744	0.00216
Chr1	170000	337863	0.00728	0.00216
Chr1	180000	347466	0.00722	0.00216
Chr1	190000	360369	0.00745	0.00216
Chr1	200000	369029	0.00781	0.00216
Chr1	210000	380859	0.00855	0.00221
Chr1	220000	391424	0.00823	0.00233
Chr1	230000	400013	0.00772	0.00239
Chr1	240000	405514	0.00736	0.00256
Chr1	250000	407578	0.00719	0.00252
Chr1	260000	416337	0.00706	0.0024
Chr1	270000	422052	0.00692	0.0024
Chr1	280000	431686	0.00681	0.00196
Chr1	290000	434073	0.00642	0.0017
Chr1	300000	444249	0.00605	0.00096
Chr1	310000	472709	0.00533	0.00079
Chr1	320000	506314	0.00476	0.00079
Chr1	330000	528978	0.00412	0.00079
Chr1	340000	595276	0.00357	0.00079
Chr1	350000	634326	0.00317	0.00079
Chr1	360000	667267	0.00236	0.00089
Chr1	370000	701601	0.00127	0.00093
Chr1	380000	721608	0.00041	0.00138
Chr1	390000	752675	0.00109	0.00189
Chr1	400000	762766	0.0025	0.00204
Chr1	410000	776357	0.00375	0.002
Chr1	420000	779785	0.00407	0.0022
Chr1	430000	784077	0.00441	0.00224
Chr1	440000	793738	0.00479	0.00322
Chr1	450000	802955	0.00495	0.00328
Chr1	460000	808863	0.0053	0.00332
Chr1	470000	812720	0.00534	0.00332
Chr1	480000	815824	0.00591	0.00332
Chr1	490000	819033	0.0062	0.00332
Chr1	500000	824147	0.00688	0.00332
Chr1	510000	832516	0.00754	0.00332
Chr1	520000	839448	0.00813	0.00332
Chr1	530000	841649	0.00815	0.00332
Chr1	540000	842664	0.00815	0.00332
Chr1	550000	843155	0.00816	0.00332
Chr1	560000	844485	0.00821	0.00332
Chr1	570000	857845	0.00832	0.00332
Chr1	580000	860073	0.00876	0.00332
Chr1	590000	860537	0.00876	0.00332
Chr1	600000	866127	0.00932	0.00332
Chr1	610000	871061	0.00956	0.00332
Chr1	620000	871944	0.00958	0.00332
Chr1	630000	873791	0.00959	0.00332
Chr1	640000	876702	0.01	0.00332
Chr1	650000	878961	0.01025	0.0033
Chr1	660000	880172	0.01037	0.0033
Chr1	670000	889561	0.01081	0.00322
Chr1	680000	901334	0.01091	0.00322
Chr1	690000	905307	0.01112	0.00318
Chr1	700000	905898	0.01114	0.00318
Chr1	710000	908826	0.01146	0.00318
Chr1	720000	945922	0.01201	0.00278
Chr1	730000	951552	0.01252	0.00222
Chr1	740000	952441	0.01248	0.00215
Chr1	750000	954520	0.0122	0.00211
Chr1	760000	965406	0.01077	0.0019
Chr1	770000	973764	0.01021	0.00167
Chr1	780000	983929	0.01004	0.00112
Chr1	790000	994223	0.0108	0.00048
Chr1	800000	1000147	0.01099	6e-05
Chr1	810000	1006107	0.0107	0
Chr1	820000	1016341	0.0105	0
Chr1	830000	1024561	0.00985	0
Chr1	840000	1035671	0.00943	0
Chr1	850000	1044046	0.00959	0
Chr1	860000	1049144	0.0092	0
Chr1	870000	1053181	0.00867	0
Chr1	880000	1067223	0.009	0
Chr1	890000	1077361	0.0093	0
Chr1	900000	1079954	0.00952	0
Chr1	910000	1091285	0.00971	0
