ContigName	ContigLength	MedianDepth
tig00000003	155839	51
tig00000004	711405	56
tig00000005	154712	51
tig00000006	272380	58
tig00000007	165881	57
tig00000008	78591	52
tig00000009	62239	51
tig00000010	269729	52
tig00000011	91438	48
tig00000012	89860	53
tig00000014	76130	61
tig00000015	71009	52
tig00000017	104377	50
tig00000018	320372	56
tig00000019	127618	54
tig00000020	240508	53
tig00000021	248574	55
tig00000022	56260	50
tig00000024	273297	53
tig00000025	74671	52
tig00000026	235662	52
tig00000030	3571205	58
tig00000031	1195527	56
tig00000032	78479	54
tig00000034	153530	51
tig00000035	75997	44
tig00000037	57770	51
tig00000041	176837	58
tig00000042	145050	57
tig00000043	121826	54
tig00000045	283805	56
tig00000061	65332	49
tig00000067	300395	55
tig00000068	60152	57
tig00000069	65023	52
tig00000070	276973	54
tig00000073	69795	56
tig00000074	69921	54
tig00000075	95673	57
tig00000076	157682	54
tig00000079	49867	28
tig00000080	57775	55
tig00000081	76775	56
tig00000082	419675	56
tig00000085	67328	51
tig00000088	424428	56
tig00000089	61822	51
tig00000090	15469157	54
tig00000091	251230	56
tig00000096	1254119	56
tig00000097	1987191	82
tig00000098	2427563	56
tig00000099	271274	55
tig00000102	1707286	55
tig00000105	92501	52
tig00000106	113022	47
tig00000108	100529	49
tig00000109	78841	45
tig00000112	354798	52
tig00000113	218648	53
tig00000114	125144	53
tig00000115	277753	51
tig00000116	60923	38
tig00000117	400554	51
tig00000118	172160	52
tig00000119	55255	55
tig00000120	196064	50
tig00000127	253643	51
tig00000128	13391696	106
tig00000129	265510	52
tig00000130	247390	51
tig00000131	126970	51
tig00000133	207634	50
tig00000134	51537	52
tig00000135	176925	51
tig00000139	131251	52
tig00000141	12743153	109
tig00000142	49577	56
tig00000146	13119011	109
tig00000148	204392	57
tig00000150	174102	53
tig00000151	275175	52
tig00000153	168492	51
tig00000154	121049	55
tig00000157	2576795	54
tig00000158	65279	45
tig00000165	61550	51
tig00000171	44255	43
tig00000172	88717	51
tig00000176	1765187	60
tig00000177	56927	51
tig00000178	102609	48
tig00000179	256032	52
tig00000186	185804	52
tig00000187	424088	49
tig00000189	161534	57
tig00000190	62753	51
tig00000195	63652	60
tig00000213	162939	51
tig00000214	120866	56
tig00000215	101637	52
tig00000216	76390	51
tig00000217	914382	52
tig00000218	53540	45
tig00000220	70390	48
tig00000224	81889	51
tig00000225	275300	54
tig00000227	132984	54
tig00000230	274636	56
tig00000231	138370	54
tig00000234	362706	54
tig00000236	62665	49
tig00000238	2430386	52
tig00000241	427392	54
tig00000242	49861	43
tig00000243	76706	54
tig00000244	99597	53
tig00000245	334447	56
tig00000246	337120	50
tig00000247	43582	44
tig00000249	68933	52
tig00000251	169642	53
tig00000253	43458	53
tig00000254	50038	50
tig00000258	102192	51
tig00000259	46601	45
tig00000260	273829	52
tig00000261	87176	48
tig00000264	99257	49
tig00000267	81609	56
tig00000268	103743	59
tig00000269	423423	52
tig00000270	92400	52
tig00000273	587990	52
tig00000274	272504	54
tig00000276	357852	53
tig00000277	67959	50
tig00000279	95230	55
tig00000280	108604	51
tig00000281	227914	52
tig00000282	499339	52
tig00000283	142088	54
tig00000288	473464	55
tig00000289	164486	54
tig00000290	1500519	54
tig00000292	215056	52
tig00000297	59801	47
tig00000298	58471	42
tig00000299	214976	54
tig00000300	187900	54
tig00000301	30192	39
tig00000302	58834	49
tig00000304	493243	53
tig00000305	198938	50
tig00000306	84146	42
tig00000307	57810	42
tig00000308	299314	52
tig00000309	183140	52
tig00000310	141519	50
tig00000312	63743	51
tig00000313	61604	51
tig00000314	2750350	52
tig00000315	215101	53
tig00000319	71694	50
tig00000321	299789	55
tig00000322	295552	56
tig00000327	10875769	102
tig00000330	128074	54
tig00000333	140395	54
tig00000334	118357	53
tig00000335	129166	54
tig00000336	365219	55
tig00000339	147824	54
tig00000342	60174	51
tig00000343	79317	46
tig00000345	496343	56
tig00000346	108411	50
tig00000350	91472	57
tig00000351	52394	51
tig00000353	2107508	52
tig00000354	81935	56
tig00000355	37085	45
tig00000356	1294517	54
tig00000358	54918	52
tig00000359	478975	50
tig00000360	87756	50
tig00000363	51446	60
tig00000364	124375	55
tig00000366	812276	57
tig00000367	721189	56
tig00000368	140481	50
tig00000369	66429	52
tig00000370	77089	50
tig00000371	339897	54
tig00000372	197155	55
tig00000374	53216	46
tig00000375	21356	58
tig00000376	83377	52
tig00000377	114266	51
tig00000379	270750	54
tig00000380	277937	52
tig00000381	91284	54
tig00000383	703714	55
tig00000385	49724	52
tig00000387	668605	54
tig00000388	143705	51
tig00000389	222586	51
tig00000390	59853	55
tig00000391	98338	54
tig00000394	48982	36
tig00000396	463351	54
tig00000398	94333	54
tig00000399	130076	50
tig00000400	164810	52
tig00000403	77684	50
tig00000407	437113	53
tig00000408	187787	54
tig00000409	117644	51
tig00000410	80626	51
tig00000413	56691	43
tig00000414	748012	56
tig00000415	92301	55
tig00000416	63181	51
tig00000418	273906	53
tig00000419	59045	50
tig00000420	41620	51
tig00000421	145877	51
tig00000422	57573	51
tig00000423	91944	54
tig00000424	47887	48
tig00000434	253501	54
tig00000435	155732	54
tig00000436	142399	53
tig00000437	47852	55
tig00000438	65982	51
tig00000441	167839	56
tig00000443	50875	54
tig00000444	70443	48
tig00000445	81650	51
tig00000446	134812	53
tig00000448	87580	53
tig00000452	80744	51
tig00000454	70600	55
tig00000455	136294	52
tig00000457	52804	48
tig00000458	98071	51
tig00000459	122500	57
tig00000462	465440	55
tig00000463	132974	52
tig00000466	263803	53
tig00000471	174367	57
tig00000473	905691	55
tig00000475	68086	53
tig00000477	86957	50
tig00000478	81872	48
tig00000479	54657	55
tig00000481	68552	54
tig00000483	97870	52
tig00000485	190975	56
tig00000486	62498	54
tig00000489	37250	52
tig00000490	29078	53
tig00000497	135611	53
tig00000500	53007	51
tig00000501	120892	59
tig00000503	377631	54
tig00000504	43497	56
tig00000505	65568	54
tig00000508	31818	52
tig00000511	366121	53
tig00000512	313231	54
tig00000517	56080	50
tig00000519	70223	54
tig00000521	135585	54
tig00000522	55897	53
tig00000524	95637	52
tig00000525	159942	52
tig00000527	732271	54
tig00000531	56505	50
tig00000533	235459	53
tig00000534	1347616	54
tig00000535	62018	52
tig00000536	101672	53
tig00000537	300435	53
tig00000538	138427	49
tig00000540	111330	55
tig00000541	141710	52
tig00000549	179796	57
tig00000550	103795	52
tig00000552	64538	50
tig00000554	125126	51
tig00000555	105013	54
tig00000556	206612	52
tig00000557	51189	51
tig00000560	196853	47
tig00000561	64140	55
tig00000562	317940	54
tig00000563	89107	51
tig00000564	118633	51
tig00000565	78640	50
tig00000566	69857	51
tig00000567	120918	51
tig00000569	859512	54
tig00000570	57381	47
tig00000571	60917	52
tig00000574	217066	56
tig00000575	60951	44
tig00000576	937593	55
tig00000577	38497	53
tig00000578	39154	51
tig00000580	257844	53
tig00000582	131481	50
tig00000583	80878	54
tig00000586	117761	55
tig00000588	79649	47
tig00000589	81936	51
tig00000590	47122	50
tig00000592	156931	53
tig00000594	465400	53
tig00000595	425254	52
tig00000597	533215	55
tig00000601	214710	56
tig00000609	354392	52
tig00000610	164702	61
tig00000611	103172	52
tig00000615	264339	52
tig00000625	3987615	106
tig00000631	5945422	54
tig00000633	327978	54
tig00000636	398310	54
tig00000638	446294	56
tig00000639	66889	50
tig00000642	71315	55
tig00000643	68808	55
tig00000644	169675	56
tig00000647	261167	54
tig00000648	60002	54
tig00000649	70688	49
tig00000650	85433	50
tig00000651	221057	53
tig00000652	76453	51
tig00000657	209783	52
tig00000658	606545	53
tig00000660	66998	42
tig00000661	208270	54
tig00000663	293999	56
tig00000664	306975	56
tig00000665	96750	52
tig00000668	510045	54
tig00000669	160577	54
tig00000670	57178	52
tig00000671	312159	53
tig00000672	120241	113
tig00000674	52078	51
tig00000676	50860	50
tig00000679	152626	55
tig00000680	45071	70
tig00000681	132714	52
tig00000685	385191	56
tig00000686	48992	58
tig00000688	95704	53
tig00000689	110543	50
tig00000693	63525	50
tig00000697	231964	54
tig00000699	62065	51
tig00000701	55642	52
tig00000702	114189	54
tig00000703	44321	45
tig00000709	34065	41
tig00000712	217135	52
tig00000720	1405428	54
tig00000722	81257	56
tig00000726	1386614	53
tig00000727	531318	55
tig00000729	415375	57
tig00000730	126669	52
tig00000732	153101	57
tig00000734	66762	50
tig00000735	347409	56
tig00000737	86978	56
tig00000740	44578	39
tig00000750	283598	57
tig00000754	84267	57
tig00000758	646459	53
tig00000759	155654	55
tig00000761	61021	56
tig00000766	54340	50
tig00000769	265074	54
tig00000772	293722	57
tig00000775	506898	54
tig00000777	66441	202
tig00000778	210113	51
tig00000779	133213	106
tig00000783	459396	55
tig00000784	80501	52
tig00000792	648640	55
tig00000793	78743	50
tig00000798	77602	39
tig00000801	388048	53
tig00000802	241667	54
tig00000803	70899	51
tig00000804	48891	42
tig00000806	110836	54
tig00000807	159169	49
tig00000808	51163	54
tig00000809	69923	54
tig00000810	64108	54
tig00000812	160669	50
tig00000814	60619	49
tig00000817	70929	49
tig00000819	77731	58
tig00000820	87429	52
tig00000821	696330	55
tig00000822	291170	54
tig00000825	38950	52
tig00000826	37159	52
tig00000830	171989	53
tig00000833	425054	54
tig00000834	60349	53
tig00000835	87754	54
tig00000839	62758	51
tig00000847	262733	55
tig00000852	198621	59
tig00000855	96298	53
tig00000857	62281	52
tig00000861	50934	50
tig00000862	100347	52
tig00000863	66526	48
tig00000866	95929	51
tig00000868	460009	52
tig00000870	66885	50
tig00000871	129272	56
tig00000872	274009	53
tig00000873	165547	55
tig00000874	50324	113
tig00000876	595052	55
tig00000877	739824	54
tig00000878	143157	55
tig00000879	55721	56
tig00000881	236433	56
tig00000883	41172	55
tig00000885	5258157	108
tig00000886	210238	54
tig00000889	64291	51
tig00000893	179728	53
tig00000894	84626	49
tig00000896	53342	52
tig00000899	36471	54
tig00000902	63435	42
tig00000903	181088	53
tig00000905	60547	54
tig00000906	138835	51
tig00000907	75131	54
tig00000908	99166	55
tig00000909	80224	57
tig00000910	174786	49
tig00000911	52672	43
tig00000916	36204	55
tig00000919	59306	45
tig00000921	130860	55
tig00000925	214834	54
tig00000926	145601	55
tig00000932	151657	50
tig00000940	138683	56
tig00000941	64591	53
tig00000943	493776	54
tig00000945	194630	54
tig00000946	226844	54
tig00000947	434010	53
tig00000948	155271	52
tig00000950	61911	55
tig00000955	65753	49
tig00000957	46357	54
tig00000958	210552	54
tig00000959	69850	54
tig00000972	664873	59
tig00000998	991920	57
tig00001004	132057	53
tig00001008	72381	58
tig00001009	197265	54
tig00001011	71963	52
tig00001015	38456	51
tig00001017	56708	52
tig00001019	328009	54
tig00001020	273022	52
tig00001021	66951	53
tig00001022	51825	51
tig00001023	407653	54
tig00001025	92863	53
tig00001028	140485	55
tig00001033	70009	66
tig00001035	89362	53
tig00001036	42998	65
tig00001045	67771	63
tig00001046	237204	55
