CHROM	START	END	HET	HOM
Chr1	0	152547	0.00503	0.0004
Chr1	10000	156569	0.00503	0.0004
Chr1	20000	171002	0.0052	0.0004
Chr1	30000	175071	0.00506	0.00039
Chr1	40000	182175	0.00518	0.00036
Chr1	50000	192461	0.00548	0.00032
Chr1	60000	204135	0.00504	0.00026
Chr1	70000	211371	0.00439	0.00021
Chr1	80000	213936	0.00457	0.00018
Chr1	90000	218538	0.00464	0.00016
Chr1	100000	226359	0.0048	0.00015
Chr1	110000	243883	0.00567	0.00056
Chr1	120000	269460	0.00603	0.00072
Chr1	130000	297732	0.00646	0.00216
Chr1	140000	309595	0.007	0.00232
Chr1	150000	319603	0.00734	0.00229
Chr1	160000	326203	0.00734	0.00229
Chr1	170000	330431	0.00745	0.00229
Chr1	180000	340785	0.00766	0.00229
Chr1	190000	350372	0.00728	0.00229
Chr1	200000	360117	0.00751	0.00229
Chr1	210000	371176	0.00814	0.00229
Chr1	220000	384092	0.00825	0.0024
Chr1	230000	396050	0.00766	0.00244
Chr1	240000	401277	0.00717	0.00239
Chr1	250000	405753	0.00697	0.00243
Chr1	260000	411342	0.00667	0.00231
Chr1	270000	418780	0.0065	0.00231
Chr1	280000	423993	0.00636	0.0018
Chr1	290000	432247	0.006	0.00166
Chr1	300000	439099	0.00569	0.00088
Chr1	310000	466240	0.00505	0.0007
Chr1	320000	493933	0.00458	0.0007
Chr1	330000	512431	0.0039	0.0007
Chr1	340000	571914	0.00329	0.0007
Chr1	350000	634667	0.00288	0.0007
Chr1	360000	673661	0.00193	0.00076
Chr1	370000	703071	0.00116	0.00079
Chr1	380000	722400	0.00045	0.00138
Chr1	390000	755677	0.0018	0.00188
Chr1	400000	765225	0.00274	0.00207
Chr1	410000	777860	0.0038	0.00225
Chr1	420000	783612	0.00418	0.00227
Chr1	430000	788093	0.00451	0.00254
Chr1	440000	804336	0.00491	0.00331
Chr1	450000	806130	0.00515	0.00331
Chr1	460000	814521	0.0054	0.00331
Chr1	470000	816913	0.0058	0.00331
Chr1	480000	819314	0.00599	0.00331
Chr1	490000	822387	0.00651	0.00331
Chr1	500000	830166	0.00722	0.00331
Chr1	510000	837684	0.00782	0.00331
Chr1	520000	842773	0.00792	0.00331
Chr1	530000	843978	0.00797	0.00331
Chr1	540000	857089	0.00802	0.00331
Chr1	550000	857789	0.00805	0.00331
Chr1	560000	858945	0.00827	0.00331
Chr1	570000	860834	0.00853	0.00331
Chr1	580000	866321	0.00907	0.00337
Chr1	590000	866615	0.00908	0.00337
Chr1	600000	869344	0.00919	0.00337
Chr1	610000	870013	0.00925	0.00337
Chr1	620000	871136	0.00932	0.00337
Chr1	630000	873329	0.00934	0.00337
Chr1	640000	876254	0.00969	0.00337
Chr1	650000	878578	0.00997	0.00335
Chr1	660000	879815	0.01007	0.00335
Chr1	670000	882862	0.01048	0.00331
Chr1	680000	895028	0.01071	0.00331
Chr1	690000	902318	0.01087	0.00328
Chr1	700000	903912	0.01094	0.00328
Chr1	710000	908632	0.01127	0.00328
Chr1	720000	938357	0.01143	0.00283
Chr1	730000	950090	0.01222	0.00226
Chr1	740000	951237	0.01222	0.00218
Chr1	750000	953038	0.01164	0.00213
Chr1	760000	961518	0.01084	0.00191
Chr1	770000	970654	0.01028	0.00167
Chr1	780000	978919	0.00965	0.00112
Chr1	790000	988301	0.00998	0.00058
Chr1	800000	994009	0.0109	0.00012
Chr1	810000	1002149	0.01078	6e-05
Chr1	820000	1011213	0.01023	6e-05
Chr1	830000	1019905	0.00953	6e-05
Chr1	840000	1028792	0.00921	6e-05
Chr1	850000	1035364	0.00933	6e-05
