Dalata.3	Eguineensis.14001
Dalata.4	Eguineensis.23362
Dalata.5	Eguineensis.24286
Dalata.6	Eguineensis.15325
Dalata.7	Eguineensis.13287
Dalata.8	Eguineensis.23358
Dalata.9	Eguineensis.23359
Dalata.10	Eguineensis.23360
Dalata.11	Eguineensis.7841
Dalata.12	Eguineensis.23361
Dalata.13	Eguineensis.15321
Dalata.4214	Eguineensis.4
Dalata.14	Eguineensis.7853
Dalata.15	Eguineensis.23363
Dalata.4212	Eguineensis.6
Dalata.4211	Eguineensis.7
Dalata.17	Eguineensis.17323
Dalata.25162	Eguineensis.8
Dalata.25157	Eguineensis.9
Dalata.25156	Eguineensis.10
Dalata.20	Eguineensis.17320
Dalata.4202	Eguineensis.13
Dalata.25154	Eguineensis.14
Dalata.25153	Eguineensis.15
Dalata.25152	Eguineensis.16
Dalata.24	Eguineensis.23370
Dalata.25	Eguineensis.23371
Dalata.4200	Eguineensis.17
Dalata.4199	Eguineensis.18
Dalata.26	Eguineensis.17314
Dalata.27	Eguineensis.23372
Dalata.5625	Eguineensis.23
Dalata.15899	Eguineensis.24
Dalata.4190	Eguineensis.25
Dalata.36	Eguineensis.17298
Dalata.37	Eguineensis.17291
Dalata.19807	Eguineensis.27
Dalata.38	Eguineensis.22959
Dalata.4187	Eguineensis.30
Dalata.41	Eguineensis.17288
Dalata.25141	Eguineensis.34
Dalata.19832	Eguineensis.35
Dalata.45	Eguineensis.17284
Dalata.46	Eguineensis.22966
Dalata.25140	Eguineensis.37
Dalata.51	Eguineensis.17276
Dalata.52	Eguineensis.17274
Dalata.53	Eguineensis.17275
Dalata.4182	Eguineensis.40
Dalata.54	Eguineensis.22973
Dalata.57	Eguineensis.7833
Dalata.25135	Eguineensis.45
Dalata.5669	Eguineensis.46
Dalata.61	Eguineensis.17273
Dalata.19853	Eguineensis.47
Dalata.19854	Eguineensis.48
Dalata.25129	Eguineensis.49
Dalata.4180	Eguineensis.50
Dalata.4179	Eguineensis.51
Dalata.25124	Eguineensis.54
Dalata.81	Eguineensis.22977
Dalata.19862	Eguineensis.55
Dalata.82	Eguineensis.22978
Dalata.83	Eguineensis.17270
Dalata.12246	Eguineensis.58
Dalata.84	Eguineensis.22982
Dalata.85	Eguineensis.17267
Dalata.87	Eguineensis.17266
Dalata.88	Eguineensis.22981
Dalata.89	Eguineensis.22980
Dalata.90	Eguineensis.7811
Dalata.91	Eguineensis.19829
Dalata.92	Eguineensis.17253
Dalata.93	Eguineensis.19831
Dalata.94	Eguineensis.19832
Dalata.4172	Eguineensis.60
Dalata.97	Eguineensis.17248
Dalata.25119	Eguineensis.61
Dalata.98	Eguineensis.19835
Dalata.99	Eguineensis.17246
