CHROM	START	END	HET	HOM
Chr1	0	143531	0.00621	0.00103
Chr1	10000	150088	0.00628	0.00109
Chr1	20000	161522	0.00655	0.00121
Chr1	30000	170340	0.00706	0.00134
Chr1	40000	182266	0.00783	0.00146
Chr1	50000	190324	0.00745	0.00187
Chr1	60000	204061	0.00668	0.00186
Chr1	70000	211311	0.00596	0.00184
Chr1	80000	213636	0.00583	0.00193
Chr1	90000	218342	0.00594	0.0019
Chr1	100000	226322	0.00628	0.002
Chr1	110000	254914	0.0069	0.00213
Chr1	120000	295253	0.00724	0.00211
Chr1	130000	310197	0.00805	0.00235
Chr1	140000	320343	0.00826	0.00172
Chr1	150000	332053	0.00816	0.00153
Chr1	160000	338303	0.00806	0.00141
Chr1	170000	344063	0.00754	0.00128
Chr1	180000	351721	0.00679	0.00117
Chr1	190000	363722	0.00762	0.00073
Chr1	200000	371871	0.0079	0.00073
Chr1	210000	382372	0.00914	0.00102
Chr1	220000	395131	0.00938	0.00126
Chr1	230000	406591	0.00916	0.00223
Chr1	240000	409937	0.00893	0.00222
Chr1	250000	411018	0.00915	0.0023
Chr1	260000	432116	0.01056	0.00269
Chr1	270000	435182	0.01088	0.003
Chr1	280000	454924	0.01105	0.00338
Chr1	290000	456016	0.01105	0.00345
Chr1	300000	467347	0.0108	0.00379
Chr1	310000	513828	0.01044	0.00385
Chr1	320000	660608	0.01082	0.00409
Chr1	330000	707116	0.01123	0.00462
Chr1	340000	728445	0.01162	0.00462
Chr1	350000	757124	0.01262	0.00462
Chr1	360000	776082	0.01262	0.00474
Chr1	370000	784641	0.01263	0.00485
Chr1	380000	793868	0.01181	0.00467
Chr1	390000	811585	0.01137	0.00443
Chr1	400000	821419	0.01147	0.00371
Chr1	410000	832951	0.01234	0.00301
Chr1	420000	838525	0.01179	0.00279
Chr1	430000	840752	0.01118	0.00272
Chr1	440000	857298	0.01027	0.00197
Chr1	450000	858046	0.01021	0.00183
Chr1	460000	859152	0.01021	0.00173
Chr1	470000	864301	0.01011	0.00141
Chr1	480000	867125	0.01021	0.00119
Chr1	490000	869240	0.01032	0.00116
Chr1	500000	869585	0.0104	0.00115
Chr1	510000	872200	0.01038	0.00112
Chr1	520000	877166	0.01046	0.00107
Chr1	530000	878294	0.01034	0.00104
Chr1	540000	879232	0.01056	0.001
Chr1	550000	879981	0.01058	0.00099
Chr1	560000	879981	0.01058	0.00099
Chr1	570000	879981	0.01058	0.00099
Chr1	580000	879981	0.01058	0.00099
Chr1	590000	879988	0.01058	0.00099
Chr1	600000	879988	0.01058	0.00099
Chr1	610000	882057	0.01058	0.00098
Chr1	620000	882760	0.01069	0.00096
Chr1	630000	886868	0.01065	0.00095
Chr1	640000	896730	0.01051	0.00086
Chr1	650000	898892	0.01051	0.00086
Chr1	660000	901066	0.01055	0.00083
Chr1	670000	906089	0.01023	0.0005
Chr1	680000	916331	0.01012	0.00033
