Dalata.4	Dzingiberensis.15593
Dalata.5	Dzingiberensis.15592
Dalata.6	Dzingiberensis.15591
Dalata.7	Dzingiberensis.15590
Dalata.8	Dzingiberensis.15589
Dalata.9	Dzingiberensis.15588
Dalata.10	Dzingiberensis.15587
Dalata.11	Dzingiberensis.15586
Dalata.12	Dzingiberensis.15585
Dalata.13	Dzingiberensis.15584
Dalata.14	Dzingiberensis.15583
Dalata.15	Dzingiberensis.15582
Dalata.16	Dzingiberensis.15579
Dalata.16	Dzingiberensis.15580
Dalata.17	Dzingiberensis.15581
Dalata.18	Dzingiberensis.15578
Dalata.19	Dzingiberensis.15577
Dalata.20	Dzingiberensis.15576
Dalata.21	Dzingiberensis.15575
Dalata.23	Dzingiberensis.15573
Dalata.25	Dzingiberensis.15572
Dalata.26	Dzingiberensis.15570
Dalata.27	Dzingiberensis.15568
Dalata.32	Dzingiberensis.15567
Dalata.33	Dzingiberensis.15566
Dalata.34	Dzingiberensis.15565
Dalata.35	Dzingiberensis.15564
Dalata.36	Dzingiberensis.15563
Dalata.37	Dzingiberensis.15562
Dalata.38	Dzingiberensis.15561
Dalata.40	Dzingiberensis.15559
Dalata.41	Dzingiberensis.15558
Dalata.42	Dzingiberensis.15557
Dalata.43	Dzingiberensis.15556
Dalata.44	Dzingiberensis.15555
Dalata.45	Dzingiberensis.15554
Dalata.46	Dzingiberensis.15553
Dalata.47	Dzingiberensis.15552
Dalata.49	Dzingiberensis.15551
Dalata.50	Dzingiberensis.15550
Dalata.52	Dzingiberensis.15548
Dalata.53	Dzingiberensis.15547
Dalata.54	Dzingiberensis.15546
Dalata.56	Dzingiberensis.15539
Dalata.61	Dzingiberensis.15538
Dalata.64	Dzingiberensis.15526
Dalata.76	Dzingiberensis.15528
Dalata.76	Dzingiberensis.15529
Dalata.76	Dzingiberensis.15530
Dalata.76	Dzingiberensis.15531
Dalata.76	Dzingiberensis.15532
Dalata.76	Dzingiberensis.15533
Dalata.76	Dzingiberensis.15527
Dalata.81	Dzingiberensis.15523
Dalata.82	Dzingiberensis.15522
Dalata.83	Dzingiberensis.15521
Dalata.84	Dzingiberensis.15520
Dalata.85	Dzingiberensis.15519
Dalata.87	Dzingiberensis.15518
Dalata.88	Dzingiberensis.15517
Dalata.89	Dzingiberensis.15516
Dalata.91	Dzingiberensis.15514
Dalata.92	Dzingiberensis.15513
Dalata.93	Dzingiberensis.15512
Dalata.94	Dzingiberensis.15511
Dalata.96	Dzingiberensis.15510
Dalata.97	Dzingiberensis.15509
Dalata.98	Dzingiberensis.15508
Dalata.99	Dzingiberensis.15507
Dalata.100	Dzingiberensis.15505
Dalata.100	Dzingiberensis.15506
Dalata.102	Dzingiberensis.15504
Dalata.103	Dzingiberensis.15503
Dalata.104	Dzingiberensis.15501
Dalata.105	Dzingiberensis.15500
Dalata.107	Dzingiberensis.15499
Dalata.108	Dzingiberensis.15498
Dalata.109	Dzingiberensis.15497
Dalata.110	Dzingiberensis.15496
Dalata.111	Dzingiberensis.15495
Dalata.112	Dzingiberensis.15494
Dalata.113	Dzingiberensis.15493
Dalata.114	Dzingiberensis.15492
Dalata.115	Dzingiberensis.15491
Dalata.116	Dzingiberensis.15485
Dalata.117	Dzingiberensis.15483
Dalata.118	Dzingiberensis.15482
Dalata.119	Dzingiberensis.15481
Dalata.120	Dzingiberensis.15480
Dalata.121	Dzingiberensis.15479
Dalata.122	Dzingiberensis.15478
Dalata.123	Dzingiberensis.15476
Dalata.124	Dzingiberensis.15475
Dalata.126	Dzingiberensis.15436
Dalata.127	Dzingiberensis.15433
Dalata.128	Dzingiberensis.15432
Dalata.129	Dzingiberensis.15431
Dalata.130	Dzingiberensis.15430
Dalata.132	Dzingiberensis.15428
Dalata.133	Dzingiberensis.15427
Dalata.134	Dzingiberensis.15426
Dalata.135	Dzingiberensis.15425
Dalata.137	Dzingiberensis.15409
Dalata.138	Dzingiberensis.15408
Dalata.139	Dzingiberensis.15407
Dalata.141	Dzingiberensis.15406
Dalata.143	Dzingiberensis.15405
Dalata.144	Dzingiberensis.15404
Dalata.145	Dzingiberensis.15399
Dalata.146	Dzingiberensis.15400
Dalata.147	Dzingiberensis.15401
Dalata.147	Dzingiberensis.15402
Dalata.149	Dzingiberensis.15403
Dalata.154	Dzingiberensis.15395
Dalata.154	Dzingiberensis.15396
Dalata.156	Dzingiberensis.15393
Dalata.156	Dzingiberensis.15394
Dalata.160	Dzingiberensis.15397
Dalata.159	Dzingiberensis.15398
Dalata.163	Dzingiberensis.15390
Dalata.164	Dzingiberensis.15391
Dalata.166	Dzingiberensis.15392
Dalata.169	Dzingiberensis.15387
Dalata.170	Dzingiberensis.15386
Dalata.171	Dzingiberensis.15385
Dalata.175	Dzingiberensis.15384
Dalata.176	Dzingiberensis.15383
Dalata.177	Dzingiberensis.15381
Dalata.181	Dzingiberensis.15594
Dalata.182	Dzingiberensis.15595
Dalata.184	Dzingiberensis.15596
Dalata.187	Dzingiberensis.15598
Dalata.188	Dzingiberensis.15599
Dalata.189	Dzingiberensis.15600
Dalata.190	Dzingiberensis.15602
Dalata.190	Dzingiberensis.15603
Dalata.191	Dzingiberensis.15602
Dalata.191	Dzingiberensis.15603
Dalata.193	Dzingiberensis.15604
Dalata.194	Dzingiberensis.15605
Dalata.197	Dzingiberensis.15606
Dalata.197	Dzingiberensis.15607
Dalata.198	Dzingiberensis.15620
Dalata.198	Dzingiberensis.15621
Dalata.199	Dzingiberensis.15606
Dalata.199	Dzingiberensis.15607
Dalata.200	Dzingiberensis.15620
Dalata.200	Dzingiberensis.15621
Dalata.204	Dzingiberensis.15616
Dalata.211	Dzingiberensis.15644
Dalata.212	Dzingiberensis.15645
Dalata.214	Dzingiberensis.15646
Dalata.215	Dzingiberensis.15641
Dalata.216	Dzingiberensis.15640
Dalata.217	Dzingiberensis.15638
Dalata.218	Dzingiberensis.15637
Dalata.220	Dzingiberensis.15636
Dalata.221	Dzingiberensis.15635
Dalata.222	Dzingiberensis.15634
Dalata.223	Dzingiberensis.15633
Dalata.229	Dzingiberensis.15632
Dalata.233	Dzingiberensis.15624
Dalata.236	Dzingiberensis.15623
Dalata.238	Dzingiberensis.15622
Dalata.253	Dzingiberensis.15458
Dalata.303	Dzingiberensis.15461
Dalata.304	Dzingiberensis.15462
Dalata.305	Dzingiberensis.15463
Dalata.306	Dzingiberensis.15464
Dalata.307	Dzingiberensis.15465
Dalata.308	Dzingiberensis.15466
Dalata.309	Dzingiberensis.15467
Dalata.311	Dzingiberensis.15470
Dalata.313	Dzingiberensis.15472
Dalata.314	Dzingiberensis.15471
Dalata.315	Dzingiberensis.15473
Dalata.316	Dzingiberensis.15474
Dalata.317	Dzingiberensis.15413
Dalata.319	Dzingiberensis.15412
Dalata.320	Dzingiberensis.15411
Dalata.321	Dzingiberensis.15410
Dalata.324	Dzingiberensis.15419
Dalata.324	Dzingiberensis.15420
Dalata.324	Dzingiberensis.15421
Dalata.326	Dzingiberensis.15416
Dalata.326	Dzingiberensis.15417
Dalata.326	Dzingiberensis.15418
Dalata.332	Dzingiberensis.15414
Dalata.334	Dzingiberensis.15439
Dalata.335	Dzingiberensis.15440
Dalata.337	Dzingiberensis.15441
Dalata.342	Dzingiberensis.15444
Dalata.343	Dzingiberensis.15446
Dalata.344	Dzingiberensis.15447
Dalata.345	Dzingiberensis.15448
Dalata.347	Dzingiberensis.15451
Dalata.348	Dzingiberensis.15452
Dalata.349	Dzingiberensis.15453
Dalata.350	Dzingiberensis.15454
Dalata.351	Dzingiberensis.15455
Dalata.351	Dzingiberensis.15456
Dalata.353	Dzingiberensis.15643
Dalata.356	Dzingiberensis.15642
Dalata.366	Dzingiberensis.15670
Dalata.368	Dzingiberensis.15667
Dalata.370	Dzingiberensis.15666
Dalata.374	Dzingiberensis.15665
Dalata.376	Dzingiberensis.15648
Dalata.377	Dzingiberensis.15649
Dalata.379	Dzingiberensis.15650
Dalata.380	Dzingiberensis.15651
Dalata.381	Dzingiberensis.15652
Dalata.383	Dzingiberensis.15653
Dalata.384	Dzingiberensis.15654
Dalata.385	Dzingiberensis.15655
Dalata.386	Dzingiberensis.15656
Dalata.387	Dzingiberensis.15657
Dalata.388	Dzingiberensis.15658
Dalata.389	Dzingiberensis.15659
Dalata.390	Dzingiberensis.15661
Dalata.391	Dzingiberensis.15662
Dalata.394	Dzingiberensis.15663
Dalata.395	Dzingiberensis.15664
Dalata.406	Dzingiberensis.15671
Dalata.407	Dzingiberensis.15672
Dalata.408	Dzingiberensis.15673
Dalata.409	Dzingiberensis.15674
Dalata.410	Dzingiberensis.15675
Dalata.412	Dzingiberensis.15677
Dalata.413	Dzingiberensis.15678
Dalata.416	Dzingiberensis.15679
Dalata.417	Dzingiberensis.15680
Dalata.417	Dzingiberensis.15681
Dalata.417	Dzingiberensis.15682
Dalata.422	Dzingiberensis.15683
Dalata.424	Dzingiberensis.15685
Dalata.425	Dzingiberensis.15684
Dalata.428	Dzingiberensis.15689
Dalata.429	Dzingiberensis.15690
Dalata.430	Dzingiberensis.15691
Dalata.432	Dzingiberensis.15693
Dalata.433	Dzingiberensis.15694
Dalata.434	Dzingiberensis.15695
Dalata.435	Dzingiberensis.15697
Dalata.436	Dzingiberensis.15698
Dalata.437	Dzingiberensis.15699
Dalata.438	Dzingiberensis.15700
Dalata.439	Dzingiberensis.15701
Dalata.440	Dzingiberensis.15702
Dalata.441	Dzingiberensis.15703
Dalata.444	Dzingiberensis.15704
Dalata.445	Dzingiberensis.15705
Dalata.446	Dzingiberensis.15706
Dalata.447	Dzingiberensis.15709
Dalata.449	Dzingiberensis.15711
Dalata.452	Dzingiberensis.15712
Dalata.453	Dzingiberensis.15713
Dalata.454	Dzingiberensis.15714
Dalata.455	Dzingiberensis.15715
Dalata.456	Dzingiberensis.15716
Dalata.457	Dzingiberensis.15717
Dalata.458	Dzingiberensis.15718
Dalata.461	Dzingiberensis.15719
Dalata.462	Dzingiberensis.15720
Dalata.463	Dzingiberensis.15721
Dalata.464	Dzingiberensis.15722
Dalata.465	Dzingiberensis.15723
Dalata.466	Dzingiberensis.15724
Dalata.467	Dzingiberensis.15725
Dalata.468	Dzingiberensis.15726
Dalata.469	Dzingiberensis.15727
Dalata.470	Dzingiberensis.15728
Dalata.471	Dzingiberensis.15729
Dalata.472	Dzingiberensis.15730
Dalata.473	Dzingiberensis.15731
Dalata.474	Dzingiberensis.15733
Dalata.476	Dzingiberensis.15734
Dalata.478	Dzingiberensis.15737
Dalata.479	Dzingiberensis.15739
Dalata.480	Dzingiberensis.15741
Dalata.481	Dzingiberensis.15742
Dalata.485	Dzingiberensis.15743
Dalata.486	Dzingiberensis.15744
Dalata.487	Dzingiberensis.15745
Dalata.489	Dzingiberensis.15746
Dalata.490	Dzingiberensis.15747
Dalata.492	Dzingiberensis.15748
Dalata.493	Dzingiberensis.15749
Dalata.495	Dzingiberensis.15751
Dalata.496	Dzingiberensis.15752
Dalata.498	Dzingiberensis.15753
Dalata.499	Dzingiberensis.15754
Dalata.500	Dzingiberensis.15755
Dalata.501	Dzingiberensis.15756
Dalata.503	Dzingiberensis.15757
Dalata.504	Dzingiberensis.15758
Dalata.507	Dzingiberensis.15759
Dalata.509	Dzingiberensis.15760
Dalata.510	Dzingiberensis.15761
Dalata.511	Dzingiberensis.15762
Dalata.512	Dzingiberensis.15763
Dalata.514	Dzingiberensis.15764
Dalata.516	Dzingiberensis.15765
Dalata.518	Dzingiberensis.15767
Dalata.519	Dzingiberensis.15768
Dalata.520	Dzingiberensis.15769
Dalata.521	Dzingiberensis.15770
Dalata.522	Dzingiberensis.15771
Dalata.524	Dzingiberensis.15772
Dalata.525	Dzingiberensis.15775
Dalata.526	Dzingiberensis.15776
Dalata.527	Dzingiberensis.15778
Dalata.528	Dzingiberensis.15779
Dalata.529	Dzingiberensis.15780
Dalata.530	Dzingiberensis.15782
Dalata.532	Dzingiberensis.15784
Dalata.533	Dzingiberensis.15817
