Dalata.18	Dalata.14141
Dalata.26	Dalata.14136
Dalata.39	Dalata.14121
Dalata.40	Dalata.14119
Dalata.42	Dalata.14117
Dalata.47	Dalata.14115
Dalata.49	Dalata.14107
Dalata.82	Dalata.14104
Dalata.88	Dalata.14101
Dalata.91	Dalata.14089
Dalata.96	Dalata.14088
Dalata.99	Dalata.14083
Dalata.104	Dalata.14076
Dalata.107	Dalata.14073
Dalata.111	Dalata.14056
Dalata.117	Dalata.14037
Dalata.119	Dalata.14040
Dalata.120	Dalata.14042
Dalata.126	Dalata.13966
Dalata.127	Dalata.13973
Dalata.129	Dalata.13974
Dalata.134	Dalata.13978
Dalata.136	Dalata.13979
Dalata.138	Dalata.13959
Dalata.141	Dalata.13957
Dalata.143	Dalata.13956
Dalata.147	Dalata.13950
Dalata.162	Dalata.13944
Dalata.169	Dalata.13943
Dalata.177	Dalata.13939
Dalata.181	Dalata.13927
Dalata.188	Dalata.13929
Dalata.211	Dalata.13868
Dalata.212	Dalata.13869
Dalata.214	Dalata.13886
Dalata.215	Dalata.13889
Dalata.218	Dalata.13891
Dalata.236	Dalata.13910
Dalata.303	Dalata.14029
Dalata.307	Dalata.14033
Dalata.317	Dalata.13965
Dalata.328	Dalata.13985
Dalata.330	Dalata.13981
Dalata.334	Dalata.14002
Dalata.335	Dalata.14004
Dalata.337	Dalata.14014
Dalata.356	Dalata.13866
Dalata.379	Dalata.13854
Dalata.380	Dalata.13853
Dalata.381	Dalata.13845
Dalata.386	Dalata.13841
Dalata.389	Dalata.13839
Dalata.390	Dalata.13834
Dalata.394	Dalata.13829
Dalata.407	Dalata.13822
Dalata.412	Dalata.13817
Dalata.415	Dalata.13814
Dalata.424	Dalata.13806
Dalata.425	Dalata.13810
Dalata.426	Dalata.13804
Dalata.432	Dalata.13795
Dalata.434	Dalata.13794
Dalata.436	Dalata.13793
Dalata.437	Dalata.13791
Dalata.439	Dalata.13783
Dalata.440	Dalata.13782
Dalata.441	Dalata.13780
Dalata.448	Dalata.13773
Dalata.449	Dalata.13771
Dalata.454	Dalata.13763
Dalata.461	Dalata.13758
Dalata.471	Dalata.13753
Dalata.473	Dalata.13752
Dalata.493	Dalata.13728
Dalata.495	Dalata.13726
Dalata.507	Dalata.13717
Dalata.512	Dalata.13716
Dalata.516	Dalata.13708
Dalata.523	Dalata.13682
Dalata.579	Dalata.13660
Dalata.586	Dalata.13659
Dalata.590	Dalata.13545
Dalata.600	Dalata.13537
Dalata.602	Dalata.13535
Dalata.603	Dalata.13534
Dalata.607	Dalata.13519
Dalata.612	Dalata.13642
Dalata.613	Dalata.13647
Dalata.616	Dalata.13656
Dalata.774	Dalata.13175
Dalata.781	Dalata.13180
Dalata.792	Dalata.13199
Dalata.818	Dalata.13240
Dalata.820	Dalata.13245
Dalata.822	Dalata.13247
Dalata.823	Dalata.13251
Dalata.826	Dalata.13252
Dalata.829	Dalata.13237
Dalata.832	Dalata.13233
Dalata.841	Dalata.13148
Dalata.869	Dalata.13283
Dalata.870	Dalata.13284
Dalata.876	Dalata.13288
Dalata.885	Dalata.13303
Dalata.891	Dalata.13310
Dalata.897	Dalata.13322
Dalata.911	Dalata.13348
Dalata.918	Dalata.13361
Dalata.919	Dalata.13360
Dalata.922	Dalata.13368
Dalata.923	Dalata.13369
Dalata.924	Dalata.13370
Dalata.929	Dalata.13374
Dalata.934	Dalata.13381
Dalata.936	Dalata.13382
Dalata.937	Dalata.13385
Dalata.941	Dalata.13401
Dalata.949	Dalata.13424
Dalata.951	Dalata.13417
Dalata.953	Dalata.13414
Dalata.956	Dalata.13410
Dalata.963	Dalata.13433
Dalata.965	Dalata.13438
Dalata.969	Dalata.13444
Dalata.981	Dalata.13471
Dalata.998	Dalata.15106
Dalata.999	Dalata.15107
Dalata.1012	Dalata.15122
Dalata.1013	Dalata.15127
Dalata.1030	Dalata.15161
Dalata.1031	Dalata.15158
Dalata.1033	Dalata.15157
Dalata.1034	Dalata.15150
Dalata.1037	Dalata.15149
Dalata.1038	Dalata.15147
Dalata.1040	Dalata.15145
Dalata.1042	Dalata.15142
Dalata.1047	Dalata.15139
Dalata.1050	Dalata.15138
Dalata.1061	Dalata.15137
Dalata.1063	Dalata.15136
Dalata.1071	Dalata.15194
Dalata.1074	Dalata.15196
Dalata.1077	Dalata.15197
Dalata.1078	Dalata.15199
Dalata.1080	Dalata.15200
Dalata.1081	Dalata.15202
Dalata.1089	Dalata.15208
Dalata.1101	Dalata.15214
Dalata.1102	Dalata.15213
Dalata.1123	Dalata.15256
Dalata.1125	Dalata.15251
Dalata.1131	Dalata.15240
Dalata.1144	Dalata.15224
Dalata.1163	Dalata.16399
Dalata.1181	Dalata.16415
Dalata.1199	Dalata.16477
Dalata.1214	Dalata.16492
Dalata.1221	Dalata.16499
Dalata.1234	Dalata.16511
Dalata.1270	Dalata.16540
Dalata.1282	Dalata.16542
Dalata.1359	Dalata.16374
Dalata.1422	Dalata.16180
Dalata.1438	Dalata.16205
Dalata.1441	Dalata.16206
Dalata.1443	Dalata.16207
Dalata.1510	Dalata.16222
Dalata.1523	Dalata.16227
Dalata.1536	Dalata.16233
Dalata.1540	Dalata.16234
Dalata.1543	Dalata.16238
Dalata.1577	Dalata.16279
Dalata.1583	Dalata.16277
Dalata.1586	Dalata.16276
Dalata.1588	Dalata.16275
Dalata.1600	Dalata.16269
Dalata.1628	Dalata.16266
Dalata.1631	Dalata.16267
Dalata.1644	Dalata.16287
Dalata.1673	Dalata.16293
Dalata.1678	Dalata.16296
Dalata.1679	Dalata.16301
Dalata.1695	Dalata.16311
Dalata.1699	Dalata.16313
Dalata.1708	Dalata.16318
Dalata.1736	Dalata.16323
